path,size_bytes,category,sha256
.gitattributes,271,root,1cdd26e5515960eb4611022317a4594f27a93f1c8622d07ebff0ce1ce21735da
.gitignore,290,root,ab2609f57360fda3f46c2efbcd8a8869d838ace3e9772e015dabd4551e855a8b
AUTHORS.md,527,root,5c69898a5e843195506e5a60f1fef85b022a9b7979575aac0fdc1f5531a2ca16
CITATION.cff,601,root,f8921cf256aee64a7ca361741f942146ecc94b306bdea1d3688e74a977060529
LICENSE_NOTICE.md,814,root,928461ca003b2bc380c5cafe9837dca3ed9e131414644451d848ec49833f9562
README.md,5047,root,e87122898902fb66631c254e220066e68046e9de2c03847326b71cb05315e530
docs/EXCLUDED_FILES.md,1033,docs,e77e81c0a01d2b3b8a174ee0c58af28011c8c26f7e6b5f0ffb43dd6223dcda72
docs/FILE_GUIDE.md,2468,docs,aa9d1c7f51c5282d9de65d33f9827af440c6b3ce71f278a881218a1c9d1efb15
docs/PACKAGE_SUMMARY.md,1415,docs,29c6af56d8c1a224bde2b9cec15ea3ca4884559baf81e0850bb2058bab8c4fa6
docs/REPRODUCIBILITY_NOTES.md,4623,docs,bc2d61fca20e36949e5b4eb0242219b4069600953dd28ef007c536543841ec56
docs/SOURCE_PROVENANCE.md,1717,docs,981cf1f6e5ee4d8a9765a36d0d06a33d25c113c21172ea271bb0790f4e2c8d59
docs/VALIDATION_BENCHMARKS.md,1392,docs,765ea93d658d3652613857f721ce397406c6574b6664db7b492454b165f70500
inputs/nemd/GaS_D1_5pct_vacancy.lmp,5148,inputs,f4602fbd7a133dffe7b63e5c05850a6f96c93758f69281590bdfca6f87c6883d
inputs/nemd/GaS_strain_6pct_armchair.lmp,5443,inputs,23dd8beb915a861c18eca337b4e9e28e4dc898e898a0625ebb5b4a99c9abd3d5
inputs/nemd/README.md,663,inputs,81e9d2fd04146ae9dbe71c01a4511a48f17d11317165a15fc0a9175b9b6ab019
inputs/pdos/GaS/command.txt,411,inputs,68ef814be6de975adf316bb4126e9acf5023aee99b80d08141b9ee13e6639d25
inputs/pdos/GaS/pdos.in,1547,inputs,b8273b22e42ae0b1f4a513a8ab90e425536c192278c53e10320d170470184caa
inputs/pdos/GaSe/command.txt,415,inputs,5366727ce68b80baf39b34d3a38ab17947c99898e51cb4a42129a7a7cd6df3fd
inputs/pdos/GaSe/pdos.in,1550,inputs,4b3a486dc754a981063e1c14e4b12a77de66a834d611b3aeb3b36c51c25a15a4
inputs/pdos/InSe/command.txt,416,inputs,0dfe02aa654bd55230a1f0ba390068af5cc148c08b6ab912bce9101c501e6867
inputs/pdos/InSe/pdos.in,1550,inputs,744efbc2abcf0eb63eadfe31f7b7a43254b90c6202c668c1fc1e5f1c070c7b0c
inputs/phonon/GaS/in.GaS_phonon.lammps,199,inputs,7a1a1cd612493fab654bd6a80380f0dbf08fafd554c6bac061cabbdd7beadbb8
inputs/phonon/GaSe/in.GaSe_phonon.lammps,202,inputs,dfe00049abf7e72d53ffc6a7c628e78489f20fbe6f4e6d40d914c8e6a728864a
inputs/phonon/InSe/in.InSe_phonon.lammps,202,inputs,792acbf53794a111013df892d1ac9c130c10e4ee0c058acd8f87f15e228a9571
potentials/nemd_eiap/GaS/GaS.tersoff,3201,potentials,ff668b632d7240daf8b69ba1126b37e74d2668c0bd3501098f4dd45c3ac6bb2a
potentials/nemd_eiap/GaSe/GaSe.tersoff,2700,potentials,02555eb5325671097210152f59e4e7217431c09f1521c8e4fa2f9c5d90735920
potentials/nemd_eiap/InSe/InSe.tersoff,2675,potentials,3e1e9984181ae94ae6fddb37f02621858049cac4b3d30d8bac41a05601077b5d
potentials/phonon_variant/GaS/GaS.tersoff,1101,potentials,60c8387a1194763a03ad778711411b7f0732bd2bb9f957576bc41c95098cbfd3
potentials/phonon_variant/GaSe/GaSe.tersoff,1112,potentials,cbf82cae27cb731330ac44d46f64830eeb965cca57bfe04353f05156dce3505b
potentials/phonon_variant/InSe/InSe.tersoff,1113,potentials,585688c80fbd1f4ddb00c4c677da2ebacf051be541750c077d155f348124ac97
references/REFERENCES.md,1376,references,8dd72693c4938ed396949227554eafce6e0c91804f661f70754b13a0dd9e7746
requirements.txt,66,root,fa54436dc51845ed81d16957f6c40058f6a0683c449d6186a7e279ed1f89df36
results/README.md,498,results,f56a468af3526b2446bb81e57f0c0d43810a88474e41add4c9133093bc4ac89c
results/phonon/GaS/GaS_PDOS.png,1460589,results,a005184f2763895c49d60735f9772707cd68b342d51c8ec05d00bfd191bddb26
results/phonon/GaS/dispersion.dat,98656,results,3b93030a6710fd9dc82eb66b2a41cfde3d48d5c71950ba036593ea5ebef5d4d2
results/phonon/GaS/dispersion.png,1282038,results,f2c3f62d6232a63c25f713dfd9fbf83098f7cc92b564b759ee47f870b0b1ab3f
results/phonon/GaS/pdos.dat,65202,results,af1a95cf6ecab59d2395d4dce361c2885994e497933fd21bb7177335b2751231
results/phonon/GaSe/dispersion.dat,98654,results,7414d826925e7f9cad38a24832e5f4913159326aaecbd8d313cb509b893636e1
results/phonon/GaSe/dispersion.png,1288863,results,fbee0cb3bae70a90f06aad69cab92c284480e508dcd3b30cc3789205d967a640
results/phonon/GaSe/pdos.dat,50203,results,7bff81d15742dafe46e2d012bf853576e50bbad7e08df681f1fe2c1b3510c334
results/phonon/GaSe/pdos.png,1383304,results,de7a40aa8d02c0fef9b04ecb6ed4c849a7bf804803d197be744017ab767c0e11
results/phonon/InSe/dispersion.dat,98653,results,c078da4dd9dd6afacfa0e7de05901a985aad78905419dcf609f619e2fbffe325
results/phonon/InSe/dispersion.png,1314193,results,6de29bf262fc8db301ed31e9f7ca0a16d015321a2392d2e7e9394c8534977d9e
results/phonon/InSe/pdos.dat,40203,results,5682d286435e15a0469775b2cd29fdc3a5feec3302b8ce614a4abfa68deee6b8
results/phonon/InSe/pdos.png,1362683,results,c6bbd490f292d078004ec5ae004bd46ee9304f44e062ff52a3b9c21b28d2f32a
results/results_summary.csv,7635,results,02a17bd11049fe57ac5b1f7e7bbd43086ae8f52f6f66e2faf6041b422aec3252
results/strain/GaS_strain.png,120898,results,f21e63747eaeb9ca8b319180c67900acb24fff2b0186f2a1e29e79bb31fc6e2a
results/strain/GaS_strain.xlsx,14222,results,7336581ab178ecb4a28dc25bac1979c67786516b7cd15a25c2162561c0909320
results/strain/GaSe_strain.png,125015,results,a8938672689b186bc4f71d9417d4135a2d7634e9b21d0d998373e41d4d8c3d26
results/strain/GaSe_strain.xlsx,14194,results,295b1098c5b5dab1f3226aed68bee0fa07658211278bf9d612906a034ea3610d
results/strain/InSe_strain.png,123113,results,a7618e6bc7b86a0b369f99b556c8e48f4a3c3bc72171fa702a235005c96797fc
results/strain/InSe_strain.xlsx,14213,results,d82237b032492b6614fc902ccd9cc0ed4c899ea5ecc97822d883c5eabf539081
results/strain/strain_summary.csv,295,results,2615cb5b7723ed30cdd74ee395ea169553fc67dc04e7018c78721054594d9c73
results/vacancy/GaS_vacancy.png,1012880,results,53cd00df8f699fb73398113762fd9b836ae197395dd78b0f8c46a729ea459c39
results/vacancy/GaS_vacancy.xlsx,14584,results,00b219b33ea54fecf66e7450cdd8e840c2ec7f01b2f290040b0266ea342c6007
results/vacancy/GaS_vacancy_summary.png,172738,results,a75d24d9396083e4e768e2ca2dd89d0fbd421f0d9427b0c1cd5a76fbc8899efc
