# q_distance branch_1_THz branch_2_THz branch_3_THz branch_4_THz branch_5_THz branch_6_THz branch_7_THz branch_8_THz branch_9_THz branch_10_THz branch_11_THz branch_12_THz
0.000000000000000000e+00 -1.525498273006170580e-02 -1.294195170746946510e-02 -1.294195170695448989e-02 1.689305646299108066e+00 1.689305646299124719e+00 3.087011469995559310e+00 7.802886967597298273e+00 8.645451484250070706e+00 1.141912661491135417e+01 1.141912661491136127e+01 1.195114968060652316e+01 1.195114968060652849e+01
1.505583966209305498e-03 -1.386423890746746324e-02 4.281197234345240910e-02 7.629535923464939029e-02 1.689911396524778286e+00 1.691584124063768124e+00 3.086871535882037776e+00 7.802774007956520208e+00 8.645250732124441839e+00 1.141890671585222883e+01 1.141897357354564235e+01 1.195090146060750413e+01 1.195100150246087622e+01
3.011167932418610995e-03 -7.436492426036765170e-03 8.850230619194507375e-02 1.542102612384761151e-01 1.691726945292302720e+00 1.698395458944198966e+00 3.086452034700948310e+00 7.802435406569274257e+00 8.644648726779124104e+00 1.141824702240962353e+01 1.141851455796463277e+01 1.195015680948759673e+01 1.195055707541871470e+01
4.516751898627916276e-03 1.493808611104232090e-02 1.335216568358655598e-01 2.317221373032237464e-01 1.694747204952088859e+00 1.709668649714075839e+00 3.085753870683142441e+00 7.801871996419126987e+00 8.643646221808891639e+00 1.141714754590402237e+01 1.141774989372225235e+01 1.194891575396852090e+01 1.194981672166408160e+01
6.022335864837222857e-03 2.673272242414410915e-02 1.783607741659561929e-01 3.090888826824159108e-01 1.698963755872779258e+00 1.725289505324397510e+00 3.084778553423377367e+00 7.801085167072251636e+00 8.642244474872969207e+00 1.141560830558982254e+01 1.141668012342649163e+01 1.194717833888730318e+01 1.194878097816885365e+01
7.527919831046529439e-03 3.888635662038753688e-02 2.231081810973552237e-01 3.863467203955416318e-01 1.704364934470074644e+00 1.745106309061424499e+00 3.083528201820846970e+00 7.800076866564523037e+00 8.640445250200928129e+00 1.141362932923637707e+01 1.141530600676617802e+01 1.194494462764830978e+01 1.194745059669007858e+01
9.033503797255834286e-03 5.219403264507825602e-02 2.677882430338575093e-01 4.634953505000829477e-01 1.710935953229979489e+00 1.768936771372202843e+00 3.082005549854141435e+00 7.798849604036966809e+00 8.638250822108581417e+00 1.141121065394259126e+01 1.141362852054761667e+01 1.194221470285758180e+01 1.194582654376526953e+01
1.053908776346514087e-02 6.684923092097184993e-02 3.124071977715911497e-01 5.405239590371232472e-01 1.718659049690131280e+00 1.796575547903058068e+00 3.080213954467212023e+00 7.797406453112741609e+00 8.635663979531729595e+00 1.140835232718617753e+01 1.141164885874011503e+01 1.193898866714107498e+01 1.194391000070491771e+01
1.204467172967444571e-02 8.287123702420878812e-02 3.569645045475065004e-01 6.174176635239746469e-01 1.727513660718310140e+00 1.827801661908315500e+00 3.078157405948225289e+00 7.795751056006594126e+00 8.632688031587331778e+00 1.140505440810916227e+01 1.140936843252939603e+01 1.193526664414867611e+01 1.194170236358088921e+01
1.355025569588375056e-02 1.002058250539955842e-01 4.014566009598812268e-01 6.941596301885573084e-01 1.737476617960030723e+00 1.862385317414338548e+00 3.075840541313909160e+00 7.793887628355160579e+00 8.629326814174085314e+00 1.140131696904151859e+01 1.140678887037742939e+01 1.193104877974660027e+01 1.193920524320943244e+01
1.505583966209305714e-02 1.187649370076390015e-01 4.458783981591292744e-01 7.707318928776356604e-01 1.748522360031320444e+00 1.900093772325613717e+00 3.073268661373143029e+00 7.791820964753481071e+00 8.625584697625672703e+00 1.139714009726514021e+01 1.140391201808701460e+01 1.192633524340093132e+01 1.193642046512695742e+01
1.656142362830236026e-02 1.384464078463224501e-01 4.902239568571215567e-01 8.471156970804193387e-01 1.760623156905038789e+00 1.940696116542458549e+00 3.070447752351647352e+00 7.789556444979850447e+00 8.621466595432281110e+00 1.139252389702090795e+01 1.140073993886920434e+01 1.192112622975590064e+01 1.193335006955676647e+01
1.806700759451166510e-02 1.591448633819492753e-01 5.344868228807024835e-01 9.232916422225978526e-01 1.773749341975480620e+00 1.983966942140084511e+00 3.067384513227126241e+00 7.787100040887117380e+00 8.616977974046927002e+00 1.138746849176193798e+01 1.139727491341133891e+01 1.191542196041079293e+01 1.192999631136433436e+01
1.957259156072097342e-02 1.807579529720970135e-01 5.786602058743470778e-01 9.992397260833413286e-01 1.787869547465767095e+00 2.029688990207466848e+00 3.064086390277300787e+00 7.784458323934294377e+00 8.612124863794781149e+00 1.138197402665664093e+01 1.139351943994310723e+01 1.190922268589995170e+01 1.192636165999863174e+01
2.107817552693028174e-02 2.031898461643836251e-01 6.227370796935483011e-01 1.074939334452061468e+00 1.802950939146343856e+00 2.077654913907244882e+00 3.060561620811149020e+00 7.781638473326874639e+00 8.606913870904280728e+00 1.137604067134574493e+01 1.138947623429798561e+01 1.190252868788110341e+01 1.192244879941666547e+01
2.258375949313958311e-02 2.263530313263774629e-01 6.667102410905575427e-01 1.150369194428399799e+00 1.818959446731736707e+00 2.127668318307353701e+00 3.056819288683721769e+00 7.778648284728671314e+00 8.601352190679705245e+00 1.136966862295788872e+01 1.138514822996663334e+01 1.189534028153757816e+01 1.191826062798802255e+01
2.408934345934889143e-02 2.501690354953322593e-01 7.105723449783865053e-01 1.225507298389751254e+00 1.835859986790220777e+00 2.179544235197407254e+00 3.052869395050105350e+00 7.775496179500799521e+00 8.595447621834630070e+00 1.136285810938917074e+01 1.138053857813903669e+01 1.188765781820093537e+01 1.191380025837592704e+01
2.559492742555819975e-02 2.745684604734278111e-01 7.543159259481552192e-01 1.300330799530728720e+00 1.853616675509377032e+00 2.233109175132478530e+00 3.048722948990204795e+00 7.772191214415748561e+00 8.589208582005497306e+00 1.135560939285258542e+01 1.137565064773148649e+01 1.187948168820100570e+01 1.190907101739103346e+01
2.710051139176750112e-02 2.994905970571364318e-01 7.979334114134234435e-01 1.374815875778208740e+00 1.872193029183071067e+00 2.288200876770352554e+00 3.044392084271016152e+00 7.768743091785317745e+00 8.582644124463211455e+00 1.134792277370400981e+01 1.137048802539410985e+01 1.187081232395118491e+01 1.190407644581366675e+01
2.860609535797680944e-02 3.248827939384317243e-01 8.414171294944727819e-01 1.448937555295693125e+00 1.891552150802199295e+00 2.344667850150089272e+00 3.039890210813433580e+00 7.765162169930817981e+00 8.575763956038715108e+00 1.133979859455225636e+01 1.136505451549463075e+01 1.186165020327772801e+01 1.189882029818014431e+01
3.011167932418611776e-02 3.506997003028882176e-01 8.847593135109610429e-01 1.522669492806998370e+00 1.911656901621440641e+00 2.402368788781453102e+00 3.035232212710309074e+00 7.761459473912262652e+00 8.568578456275647071e+00 1.133123724466158500e+01 1.135935414007319366e+01 1.185199585300253133e+01 1.189330654252812280e+01
3.161726329039542260e-02 3.769024613114736466e-01 9.279521042421144950e-01 1.595983680837495200e+00 1.932470057026131505e+00 2.461171906654311403e+00 3.030434709380656066e+00 7.757646706419522253e+00 8.561098697818895431e+00 1.132223916465589930e+01 1.135339113876310790e+01 1.184184985278993452e+01 1.188753936009576506e+01
3.312284725660472745e-02 4.034579177651466120e-01 9.709875506949308122e-01 1.668850072798929052e+00 1.953954446425761882e+00 2.520954240935285195e+00 3.025516403391226739e+00 7.753736258713536778e+00 8.553336468042541441e+00 1.131280485153509119e+01 1.134716996867152972e+01 1.183121283926919531e+01 1.188152314496905326e+01
3.462843122281403230e-02 4.303378417429531977e-01 1.013857609864851073e+00 1.741236084373219306e+00 1.976073077248286847e+00 2.581600949048461935e+00 3.020498548818374651e+00 7.749741221488174681e+00 8.545304291913378592e+00 1.130293486401505909e+01 1.134069530421413496e+01 1.182008551044520850e+01 1.187526250367108815e+01
3.613401518902333714e-02 4.575182264934421483e-01 1.056554145815142398e+00 1.813105923925755203e+00 1.998789243400564963e+00 2.643004619624065743e+00 3.015405589676059872e+00 7.745675395504173721e+00 8.537015456077218900e+00 1.129262982820413797e+01 1.133397203689680488e+01 1.180846863041165484e+01 1.186876225468691182e+01
3.763959915523264199e-02 4.849786396533088406e-01 1.099068928299738790e+00 1.884419678530758091e+00 2.022066618794989168e+00 2.705064609944275666e+00 3.010266042047694324e+00 7.741553301824873223e+00 8.528484034143740899e+00 1.128189044363020344e+01 1.132700527503748944e+01 1.179636303438175560e+01 1.186202742791689246e+01
3.914518312144194684e-02 5.127016427470918458e-01 1.141393631086864868e+00 1.955132044335307961e+00 2.045869336723189491e+00 2.767686417529737319e+00 3.005113731400944843e+00 7.737390191459410538e+00 8.519724913131767607e+00 1.127071748963421349e+01 1.131980034342029739e+01 1.178376963405361977e+01 1.185506326405120348e+01
