# frequency_THz total_states_per_THz_per_atom Ga_contribution S_contribution
-5.000000000000000000e-01 4.581873439206773124e-09 3.132183972368107187e-09 1.449689466838665938e-09
-4.799999999999999822e-01 1.269840892351554070e-08 8.680806851552851854e-09 4.017602071962685540e-09
-4.599999999999999645e-01 3.387247885650660115e-08 2.315607868947377859e-08 1.071640016703281098e-08
-4.399999999999999467e-01 8.697694973632362232e-08 5.946072111887299352e-08 2.751622861745062880e-08
-4.199999999999999289e-01 2.150283887094544838e-07 1.470044737998187014e-07 6.802391490963578247e-08
-3.999999999999999112e-01 5.119226783202172264e-07 3.499844522487702589e-07 1.619382260714468617e-07
-3.799999999999998934e-01 1.173872184027963096e-06 8.025568460061149443e-07 3.713153380218478337e-07
-3.599999999999998757e-01 2.593256179725908273e-06 1.773013796230491719e-06 8.202423834954154956e-07
-3.399999999999998579e-01 5.520633314337123838e-06 3.774578975180932910e-06 1.746054339156190504e-06
-3.199999999999998401e-01 1.132852955406690321e-05 7.745820752102303283e-06 3.582708801964595690e-06
-2.999999999999998224e-01 2.241478293758400670e-05 1.532654461874863693e-05 7.088238318835371463e-06
-2.799999999999998046e-01 4.277809813813491651e-05 2.925153908008610735e-05 1.352655905804879899e-05
-2.599999999999997868e-01 7.877709827159928109e-05 5.386996487981467316e-05 2.490713339178457405e-05
-2.399999999999997691e-01 1.400404825218068471e-04 9.576833772916143179e-05 4.427214479264536784e-05
-2.199999999999997513e-01 2.404284430900804101e-04 1.644289508377893010e-04 7.599949225229091936e-05
-1.999999999999997335e-01 3.988618524171127816e-04 2.727983909541179691e-04 1.260634614629945415e-04
-1.799999999999997158e-01 6.397556825276141685e-04 4.375860296289556554e-04 2.021696528986585402e-04
-1.599999999999996980e-01 9.927477761657893963e-04 6.790812806846215945e-04 3.136664954811672597e-04
-1.399999999999996803e-01 1.491438857148129045e-03 1.020295209738513072e-03 4.711436474096159194e-04
-1.199999999999996625e-01 2.170981071913446331e-03 1.485314916094438321e-03 6.856661558190075764e-04
-9.999999999999964473e-02 3.064572351075180862e-03 2.096909357437147688e-03 9.676629936380300298e-04
-7.999999999999962697e-02 4.199198449259437284e-03 2.873619749849542267e-03 1.325578699409891981e-03
-5.999999999999960920e-02 5.591244072894521570e-03 3.826758827277366819e-03 1.764485245617152150e-03
-3.999999999999959144e-02 7.242780204269707797e-03 4.957870385005230460e-03 2.284909819264473001e-03
-1.999999999999957367e-02 9.139347873055016225e-03 6.257209844310277630e-03 2.882138028744737727e-03
4.440892098500626162e-16 1.124986264835486048e-02 7.703672999906593238e-03 3.546189648448259436e-03
2.000000000000046185e-02 1.352888508364876244e-02 9.266341359788319784e-03 4.262543723860447858e-03
4.000000000000047962e-02 1.592102694021794995e-02 1.090748771516530762e-02 5.013539225052649276e-03
6.000000000000049738e-02 1.836681278193778161e-02 1.258657779353153719e-02 5.780234988406246152e-03
8.000000000000051514e-02 2.080900831709918408e-02 1.426459290955182924e-02 6.544415407547356581e-03
1.000000000000005329e-01 2.319833633455719440e-02 1.590793622738689156e-02 7.290400107170313254e-03
1.200000000000005507e-01 2.549764402574625222e-02 1.749128249214643160e-02 8.006361533599817143e-03
1.400000000000005684e-01 2.768392146163102183e-02 1.899896036968612423e-02 8.684961091944897599e-03
1.600000000000005862e-01 2.974802227798339568e-02 2.042476482859992976e-02 9.323257449383471132e-03
1.800000000000006040e-01 3.169241038510264841e-02 2.177042021062401689e-02 9.921990174478634988e-03
2.000000000000006217e-01 3.352765499150073270e-02 2.304318726410357898e-02 1.048446772739715198e-02
2.200000000000006395e-01 3.526863087192870505e-02 2.425326814026403099e-02 1.101536273166467406e-02
2.400000000000006573e-01 3.693137990780566426e-02 2.541166300513548332e-02 1.151971690267017748e-02
2.600000000000006750e-01 3.853132270059619890e-02 2.652894932755554130e-02 1.200237337304065413e-02
2.800000000000006928e-01 4.008301601190197849e-02 2.761511770633446466e-02 1.246789830556750862e-02
3.000000000000007105e-01 4.160106307163115302e-02 2.868019534860446682e-02 1.292086772302667580e-02
3.200000000000007283e-01 4.310130131909076234e-02 2.973505822083624336e-02 1.336624309825451898e-02
3.400000000000007461e-01 4.460122459880266205e-02 3.079171835356080134e-02 1.380950624524185204e-02
3.600000000000007638e-01 4.611886510159101532e-02 3.186255654272959759e-02 1.425630855886141427e-02
3.800000000000007816e-01 4.767001732168922590e-02 3.295842046874938175e-02 1.471159685293984762e-02
4.000000000000007994e-01 4.926450109526634563e-02 3.408606591691357851e-02 1.517843517835278794e-02
4.200000000000008171e-01 5.090279245875278108e-02 3.524585091043787310e-02 1.565694154831491491e-02
4.400000000000008349e-01 5.257449141313502716e-02 3.643068824644472847e-02 1.614380316669030563e-02
4.600000000000008527e-01 5.425961834608399037e-02 3.762693481610025065e-02 1.663268352998373972e-02
4.800000000000008704e-01 5.593277169417983086e-02 3.881723934258424213e-02 1.711553235159558872e-02
5.000000000000008882e-01 5.756910067574425721e-02 3.998463181174889691e-02 1.758446886399537418e-02
5.200000000000009059e-01 5.915029298250434886e-02 4.111662202059632176e-02 1.803367096190803057e-02
5.400000000000009237e-01 6.066868327664156485e-02 4.220801058292734942e-02 1.846067269371420155e-02
5.600000000000009415e-01 6.212822706940897971e-02 4.326155324206891473e-02 1.886667382734007886e-02
5.800000000000009592e-01 6.354222204587470224e-02 4.428639830590243992e-02 1.925582373997226926e-02
6.000000000000009770e-01 6.492884084980525550e-02 4.529502647462477910e-02 1.963381437518049027e-02
6.200000000000009948e-01 6.630627658610027675e-02 4.629992725130123443e-02 2.000634933479904232e-02
6.400000000000010125e-01 6.768928064401022460e-02 4.731123108293690260e-02 2.037804956107337750e-02
