# q_distance branch_1_THz branch_2_THz branch_3_THz branch_4_THz branch_5_THz branch_6_THz branch_7_THz branch_8_THz branch_9_THz branch_10_THz branch_11_THz branch_12_THz
0.000000000000000000e+00 -2.715378299956360485e-04 -3.341631043487157496e-05 -3.341609464079803987e-05 1.182714984085453391e+00 1.182714984085459164e+00 3.191942891191317688e+00 6.298986548435745902e+00 6.302318039405862216e+00 7.960706655016317690e+00 7.960706655016320354e+00 8.756627123685259306e+00 8.756627123685266412e+00
1.412699609166187011e-03 -6.158218051447079695e-04 3.348181163362706075e-02 5.687681756250716897e-02 1.183134418127610221e+00 1.184441175174330674e+00 3.191865369514978568e+00 6.298807474678009832e+00 6.302194231495087173e+00 7.960552940335634098e+00 7.960579777328184115e+00 8.756450244221143819e+00 8.756519128186427636e+00
2.825399218332374021e-03 3.515076679219806492e-03 6.695885559048304903e-02 1.137331210626697786e-01 1.184391554598739127e+00 1.189597944211165492e+00 3.191633422949607723e+00 6.298270497073414909e+00 6.301822964917337622e+00 7.960091761937185595e+00 7.960199228175061315e+00 8.755919599558071198e+00 8.756195221482460767e+00
4.238098827498561032e-03 8.829179956342705915e-03 1.004263049279427306e-01 1.705482770205139220e-01 1.186482908759818322e+00 1.198121284448721013e+00 3.191248910881553602e+00 6.297376347109221228e+00 6.301204711143599368e+00 7.959323016892844826e+00 7.959565259307924912e+00 8.755035170980638881e+00 8.755655642946461370e+00
5.650798436664748042e-03 1.610006896420371897e-02 1.338793600812294426e-01 2.273014981584826621e-01 1.189402713149872115e+00 1.209908986872623604e+00 3.190714945647975309e+00 6.296126245537185362e+00 6.300340255983639004e+00 7.958246534125669847e+00 7.958678290368796482e+00 8.753796927618909152e+00 8.754900791518503311e+00
7.063498045830935053e-03 2.524200476307620483e-02 1.673132071081887273e-01 2.839717317296893140e-01 1.193142977138742511e+00 1.224826641224538548e+00 3.190035912722427813e+00 6.294521904788613398e+00 6.299230699625532282e+00 7.956862075113312116e+00 7.957538908976065528e+00 8.752204826931938797e+00 8.753931225682642037e+00
8.476197654997120329e-03 3.613171233419251033e-02 2.007230167943437893e-01 3.405375693178352425e-01 1.197693568148200161e+00 1.242714821549696147e+00 3.189217499265541100e+00 6.292565532366630521e+00 6.297877456695574416e+00 7.955169334869964359e+00 7.956147870843421011e+00 8.750258815384531985e+00 8.752747663434034209e+00
9.888897264163308207e-03 4.863106895273304475e-02 2.341039413782913803e-01 3.969771517692453622e-01 1.203042312507199840e+00 1.263396605366266412e+00 3.188266731329754133e+00 6.290259835226586382e+00 6.296282256343252115e+00 7.953167943203981238e+00 7.954506099931911933e+00 8.747958829317189711e+00 8.751350982235628351e+00
1.130159687332949435e-02 6.259603455521754733e-02 2.674511109863038638e-01 4.532680695776641344e-01 1.209175113487893416e+00 1.286684700913844459e+00 3.187192020086315303e+00 6.287608025158666791e+00 6.294447142357128655e+00 7.950857466247611249e+00 7.952614688634426443e+00 8.745304796008934289e+00 8.749742218963346474e+00
1.271429648249568049e-02 7.788285843816514231e-02 3.007596300067257866e-01 5.093872579271875312e-01 1.216076083753317549e+00 1.312387675344553584e+00 3.186003217518431185e+00 6.284613825189297565e+00 6.292374473318822048e+00 7.948237408254430925e+00 7.950474897991738565e+00 8.742296634933021338e+00 8.747922569838967988e+00
1.412699609166186837e-02 9.435269507454846494e-02 3.340245734533307531e-01 5.653108854684854023e-01 1.223727689245607708e+00 1.340315015457461456e+00 3.184711682093900542e+00 6.281281477020772108e+00 6.290066922803546845e+00 7.945307213659709156e+00 7.948088157939221077e+00 8.738934259205320743e+00 8.745893390349213092e+00
