# frequency_THz total_states_per_THz_per_atom Ga_contribution Se_contribution
-5.000000000000000000e-01 6.653039863649696441e-09 3.118039886288511982e-09 3.534999977361189009e-09
-4.799999999999999822e-01 1.844175202636172764e-08 8.642789982643883897e-09 9.798962043717853664e-09
-4.599999999999999645e-01 4.919687696383089004e-08 2.305573140181718531e-08 2.614114556201373782e-08
-4.399999999999999467e-01 1.263237260037842244e-07 5.919910986799948555e-08 6.712461613578481823e-08
-4.199999999999999289e-01 3.122547983966585356e-07 1.463280154932551181e-07 1.659267829034034704e-07
-3.999999999999999112e-01 7.431588943985943327e-07 3.482469479938113174e-07 3.949119464047833859e-07
-3.799999999999998934e-01 1.703263514281530308e-06 7.981303937168640575e-07 9.051331205646665679e-07
-3.599999999999998757e-01 3.760083849581738810e-06 1.761874250882149237e-06 1.998209598699591691e-06
-3.399999999999998579e-01 7.996988757110112193e-06 3.747038435820569582e-06 4.249950321289547693e-06
-3.199999999999998401e-01 1.638994890997542181e-05 7.679312666019511718e-06 8.710636243955920252e-06
-2.999999999999998224e-01 3.237966917419355842e-05 1.517046629250782587e-05 1.720920288168574611e-05
-2.799999999999998046e-01 6.168034610006141710e-05 2.889705897595274753e-05 3.278328712410867634e-05
-2.599999999999997868e-01 1.133321147399396007e-04 5.309315676217617842e-05 6.023895797776345612e-05
-2.399999999999997691e-01 2.009378379960444813e-04 9.412916617027286049e-05 1.068086718257717021e-04
-2.199999999999997513e-01 3.439258384496407962e-04 1.611024857250878265e-04 1.828233527245531052e-04
-1.999999999999997335e-01 5.685621545718634422e-04 2.663104008327452673e-04 3.022517537391184459e-04
-1.799999999999997158e-01 9.083307045765977479e-04 4.254264177923510783e-04 4.829042867842469407e-04
-1.599999999999996980e-01 1.403254681371261976e-03 6.571802215703506558e-04 7.460744598009118626e-04
-1.399999999999996803e-01 2.097798232330817456e-03 9.823723720183198151e-04 1.115425860312498291e-03
-1.199999999999996625e-01 3.037196913788785344e-03 1.422153118057153465e-03 1.615043795731631662e-03
