# q_distance branch_1_THz branch_2_THz branch_3_THz branch_4_THz branch_5_THz branch_6_THz branch_7_THz branch_8_THz branch_9_THz branch_10_THz branch_11_THz branch_12_THz
0.000000000000000000e+00 -8.767454146852073516e-04 -2.061714093801873576e-04 -2.061714017534212228e-04 6.821438356882071341e-01 6.821438356882157938e-01 2.827047469826917681e+00 4.928788479192926175e+00 4.970547706763821516e+00 6.401825199459172389e+00 6.401825199459175941e+00 6.703588211882656189e+00 6.703588211882657966e+00
1.330119686821259637e-03 5.592499263634284016e-04 2.543766505044319989e-02 4.470912413374607958e-02 6.826130294374219698e-01 6.839674563372115657e-01 2.826904385755179216e+00 4.928630397029596821e+00 4.970471868696873408e+00 6.401740298616665825e+00 6.401755396640931295e+00 6.703484405181102446e+00 6.703507638760009435e+00
2.660239373642519275e-03 3.615503922576060198e-03 5.087246900073887079e-02 8.940289008111071412e-02 6.840183636183574389e-01 6.894010198290543290e-01 2.826475511482721359e+00 4.928156450658803145e+00 4.970244530777999437e+00 6.401485655940632569e+00 6.401545915045733892e+00 6.703172915788615072e+00 6.703265978214239418e+00
3.990359060463778695e-03 8.038925058005763971e-03 7.629876357000525688e-02 1.340643016266067078e-01 6.863531429092035729e-01 6.983365430968114795e-01 2.825761983416865686e+00 4.927367540644961075e+00 4.969866221431159303e+00 6.401061450989661950e+00 6.401196535618289829e+00 6.702653536122454625e+00 6.702863406710788396e+00
5.320478747285038550e-03 1.399353109009841833e-02 1.017126365323661047e-01 1.786772452105495346e-01 6.896063591248915436e-01 7.106061241860021083e-01 2.824765704192045757e+00 4.926265168620867385e+00 4.969337819959712022e+00 6.400467983041653319e+00 6.400706894484712528e+00 6.701925921145337028e+00 6.702300218355031092e+00
6.650598434106298404e-03 2.135393101685476025e-02 1.271100017755314726e-01 2.232253494902347313e-01 6.937629095883096619e-01 7.259970659481856936e-01 2.823489355691995328e+00 4.924851438334825637e+00 4.968660554452558387e+00 6.399705671114006122e+00 6.400076484772475816e+00 6.700989589760294685e+00 6.701576824886468664e+00
7.980718120927557391e-03 2.995961009547709608e-02 1.524867362992520792e-01 2.676920079575836886e-01 6.988038882177126654e-01 7.442683256039145379e-01 2.821936417458782653e+00 4.923129057134451259e+00 4.967835998874664760e+00 6.398775053991346162e+00 6.399304659143477458e+00 6.699843926751379186e+00 6.700693755670129370e+00
9.310837807748818112e-03 3.964345171635930837e-02 1.778386978592625955e-01 3.120603315898431429e-01 7.047069361885192063e-01 7.651657075712182676e-01 2.820111190668069145e+00 4.921101337904516981e+00 4.966866069363550018e+00 6.397676790260357294e+00 6.398390633025712759e+00 6.698488185258300476e+00 6.699651657684589701e+00
1.064095749457007710e-02 5.024456595904556316e-02 2.031617277011128764e-01 3.563130904005450961e-01 7.114466371845313830e-01 7.884342141553748462e-01 2.818018827902119217e+00 4.918772201480609674e+00 4.965753019759064912e+00 6.396411658351081719e+00 6.397333488525115186e+00 6.696921489770017999e+00 6.698451295506050229e+00
1.197107718139133609e-02 6.161558196409310656e-02 2.284516499882703056e-01 4.004326499175306919e-01 7.189949415022021117e-01 8.138270013020261207e-01 2.815665369005720287e+00 4.916146179564219842e+00 4.964499436399146148e+00 6.394980556583846898e+00 6.396132178995700635e+00 6.695142839619271591e+00 6.697093551287587765e+00
1.330119686821259681e-02 7.362637451641165787e-02 2.537042702477063094e-01 4.444009033065833836e-01 7.273216035569007865e-01 8.411111361117409313e-01 2.813057783363605679e+00 4.913228418168237077e+00 4.963108232219267890e+00 6.393384503220997495e+00 6.394785534242831027e+00 6.693151112957410831e+00 6.695579424732668983e+00
1.463131655503385579e-02 8.616527578283546263e-02 2.789153734673694984e-01 4.881991988689350359e-01 7.363946185061541749e-01 8.700707425512785864e-01 2.810204018991718122e+00 4.910024681624451048e+00 4.961582640197857330e+00 6.391624636522231562e+00 6.393292266331595641e+00 6.690945071186442661e+00 6.693910033061791331e+00
1.596143624185511478e-02 9.913862091762512541e-02 3.040807220585775572e-01 5.318082623699847966e-01 7.461806455390145310e-01 9.005082263185653080e-01 2.807113058887010126e+00 4.906541357186488206e+00 4.959926206193967069e+00 6.389702214802366775e+00 6.391650975969779935e+00 6.688523363822994838e+00 6.692086610970948257e+00
1.729155592867637550e-02 1.124693084812128513e-01 3.291960537668536246e-01 5.752081135524308442e-01 7.566454076394264483e-01 9.322442074419826641e-01 2.803794985130317663e+00 4.902785460262438555e+00 4.958142781227036444e+00 6.387618616490110313e+00 6.389860159432790176e+00 6.685884533767152860e+00 6.690110510580567826e+00
1.862167561549763622e-02 1.260948774243501602e-01 3.542570795679372275e-01 6.183779761324991187e-01 7.677540600792590597e-01 9.651166586067703168e-01 2.800261051281614399e+00 4.898764640311348728e+00 4.956236513251562670e+00 6.385375340186233650e+00 6.387918215996343463e+00 6.683027022947534590e+00 6.687983201373193687e+00
1.995179530231889348e-02 1.399654384383994532e-01 3.792594815675751074e-01 6.612961805470761734e-01 7.794715223279778948e-01 9.989796089944196211e-01 2.796523763643365523e+00 4.894487187436119768e+00 4.954211838481697328e+00 6.382974004719427441e+00 6.385823455841385332e+00 6.679949178312842406e+00 6.685706270118233263e+00
2.128191498914015420e-02 1.540416665200305679e-01 4.041989109154722204e-01 7.039400587052110358e-01 7.917627703201619571e-01 1.033701655757964133e+00 2.792596971991109900e+00 4.889962039702639096e+00 4.952073472322616077e+00 6.380416349197809645e+00 6.383574108395097646e+00 6.676649258139287113e+00 6.683281420781757909e+00
2.261203467596141492e-02 1.682929670184835080e-01 4.290709857407500882e-01 7.462858300044471482e-01 8.045930879903671062e-01 1.069164436069488966e+00 2.788495970374203381e+00 4.885198791210471292e+00 4.949826399966521961e+00 6.377704233054092064e+00 6.381168331071489064e+00 6.673125438622759198e+00 6.680710474419202072e+00
2.394215436278267217e-02 1.826958644546125554e-01 4.538712891135752159e-01 7.883084779072974113e-01 8.179282786052991527e-01 1.105261149979497093e+00 2.784237608565249378e+00 4.880207700934066750e+00 4.947475866711504189e+00 6.374839636081903294e+00 6.378604218375197199e+00 6.669375820724570580e+00 6.677995369048707275e+00
2.527227404960393289e-02 1.972326245592601612e-01 4.785953670375640567e-01 8.299816164474642655e-01 8.317348376793242126e-01 1.141895182631327277e+00 2.779840414672219318e+00 4.874999702345251151e+00 4.945027368061260198e+00 6.371824658460843338e+00 6.375879811332777258e+00 6.665398437239618445e+00 6.675138159502449930e+00
2.660239373642519362e-02 2.118900980388449540e-01 5.032387264768062307e-01 8.459800901621037372e-01 8.712773461651394102e-01 1.178978847902302451e+00 2.775324729307532490e+00 4.869586413816917592e+00 4.942486639662774905e+00 6.368661520767427753e+00 6.372993107216688990e+00 6.661191260056489760e+00 6.672141017253361284e+00
2.793251342324645087e-02 2.266587637147401135e-01 5.277968334212231882e-01 8.606322951733686999e-01 9.121660991744019453e-01 1.216432259484612421e+00 2.770712851513017938e+00 4.863980149794802088e+00 4.939859647137450516e+00 6.365352563968937005e+00 6.369942069528650386e+00 6.656752207579700986e+00 6.669006230214195696e+00
2.926263311006771159e-02 2.415319446461480501e-01 5.522651109944088921e-01 8.756607218768779344e-01 9.526164733708811783e-01 1.254182326190149910e+00 2.766029196343474439e+00 4.858193932707732365e+00 4.937152575858960724e+00 6.361900249396994056e+00 6.366724638210715881e+00 6.652079152285396368e+00 6.665736202505837760e+00
3.059275279688897231e-02 2.565051707392482228e-01 5.766389376074479989e-01 8.910357001840818469e-01 9.925950562246760311e-01 1.292161863365411945e+00 2.761300463582040621e+00 4.852241505567486790e+00 4.934371820728323144e+00 6.358307158697253492e+00 6.363338740054571119e+00 6.647169928383172888e+00 6.662333454191478488e+00
3.192287248371022956e-02 2.715756633013764465e-01 6.009136451633591003e-01 9.067286499128872634e-01 1.032066239214303627e+00 1.330308810067676761e+00 2.756555816458142960e+00 4.846137345185966616e+00 4.931523975993131970e+00 6.354575993751605978e+00 6.359782299281932616e+00 6.642022339558261379e+00 6.658800620973014617e+00
3.325299217053148682e-02 2.867419198674060477e-01 6.250845173159325086e-01 9.227120918412965445e-01 1.070992024787722707e+00 1.368565541001253383e+00 2.751827068415287680e+00 4.839896675910136281e+00 4.928615825153838337e+00 6.350709576568747572e+00 6.356053248271619438e+00 6.636634166770082111e+00 6.655140453845858062e+00
3.458311185735274407e-02 3.020033807395865466e-01 6.491467877879888437e-01 9.389596438327478811e-01 1.109331828843744594e+00 1.406878262462202489e+00 2.747148874876018887e+00 4.833535483743226280e+00 4.925654330995283381e+00 6.346710849138917254e+00 6.352149538411743457e+00 6.631003176085205730e+00 6.651355818708115208e+00
3.591323154417400132e-02 3.173601616793256253e-01 6.730956387534972052e-01 9.554460049015716105e-01 1.147042283173156596e+00 1.445196482269079707e+00 2.742558925512540213e+00 4.827070530683708505e+00 4.922646625776422091e+00 6.342582873248121089e+00 6.348069151058648885e+00 6.625127126524832377e+00 6.647449695919686263e+00
3.724335123099525857e-02 3.328128398915979336e-01 6.969261992889186352e-01 9.721469297590651371e-01 1.184077044147902713e+00 1.483472544612649102e+00 2.738098130689184284e+00 4.820519369070974669e+00 4.919600001605282991e+00 6.338328830247019319e+00 6.343810108587494057e+00 6.619003777909242103e+00 6.643425179806841108e+00
3.857347091781650888e-02 3.483622827885360929e-01 7.206335438988347164e-01 9.890391960519481218e-01 1.220386616258976931e+00 1.521661221788345841e+00 2.733810793437685849e+00 4.813900355678207177e+00 4.916521901019795138e+00 6.333952020769233471e+00 6.339370485522855425e+00 6.612630898684084713e+00 6.639285478107376903e+00
3.990359060463777308e-02 3.640095109991625666e-01 7.442126911218543972e-01 1.006100566190004653e+00 1.255918201921572885e+00 1.559719355798437235e+00 2.729744755515453480e+00 4.807232665237905600e+00 4.913419907788043162e+00 6.329455864393541020e+00 6.334748419741334402e+00 6.606006273715840926e+00 6.635033911351205127e+00
4.123371029145903033e-02 3.797555887380809625e-01 7.676586022224575201e-01 1.023309745365692303e+00 1.290615592294232172e+00 1.597605543780391324e+00 2.725951502775719515e+00 4.800536303023852369e+00 4.910301737933976618e+00 6.324843899244082301e+00 6.329942123741771454e+00 6.599127712046405136e+00 6.630673912171110018e+00
4.256382997828028758e-02 3.956015359931947528e-01 7.909661799753254785e-01 1.040646337101695851e+00 1.324419117638346854e+00 1.635279862114011884e+00 2.722486211306473169e+00 4.793832116044462133e+00 4.907175230986275949e+00 6.320119781522433478e+00 6.324949895982554082e+00 6.591993054599488921e+00 6.626209024537974557e+00
4.389394966510154483e-02 4.115482580880141517e-01 8.141302675487005480e-01 1.058090797424755314e+00 1.357265679810875092e+00 1.672703624874876782e+00 2.719407711735855049e+00 4.787141802326738471e+00 4.904048341439340319e+00 6.315287284964921533e+00 6.319770132289290743e+00 6.584600181834124655e+00 6.621642902914600448e+00
4.522406935192280208e-02 4.275964890568850207e-01 8.371456474936649350e-01 1.075624388555618927e+00 1.389088893524073054e+00 1.709839173036453941e+00 2.716778345068681766e+00 4.780487917687199939e+00 4.900929130405891954e+00 6.310350300218297903e+00 6.314401337339977438e+00 6.576947021343503508e+00 6.616979311321958157e+00
4.655418903874405934e-02 4.437467459813993487e-01 8.600070408468338812e-01 1.093229132825316308e+00 1.419819366507091285e+00 1.746649691482659916e+00 2.714663679925682693e+00 4.773893879297003373e+00 4.897825757430529059e+00 6.305312834126559629e+00 6.308842136238872911e+00 6.569031555400122180e+00 6.612222122311451677e+00
4.788430872556530965e-02 4.599992920030598897e-01 8.827091063540735139e-01 1.110887767374525437e+00 1.449385150909635822e+00 1.783099051482909259e+00 2.713132058860316498e+00 4.767383965253889855e+00 4.894746472422850658e+00 6.300179008921195312e+00 6.303091286194113962e+00 6.560851828451156997e+00 6.607375315836463869e+00
4.921442841238657384e-02 4.763541061806497723e-01 9.052464398231753195e-01 1.128583700063657602e+00 1.477712398183610665e+00 1.819151676809156015e+00 2.712253941540763602e+00 4.760983309274842590e+00 4.891699607657171711e+00 6.294953061306949316e+00 6.297147688318290193e+00 6.552405954570930113e+00 6.602442978016287434e+00
5.054454809920783109e-02 4.928108587218880121e-01 9.276135736140542765e-01 1.146300966913859742e+00 1.504726246040293258e+00 1.854772432144950578e+00 2.712101016232561612e+00 4.754717889522850349e+00 4.888693569773720604e+00 6.289639341434739350e+00 6.291010399575125867e+00 6.543692124880421623e+00 6.597429299785237511e+00
5.187466778602908835e-02 5.093688904059717748e-01 9.498049762750793157e-01 1.164024191310234491e+00 1.530351957608051761e+00 1.889926532854530716e+00 2.712745059499171330e+00 4.748614510481621309e+00 4.885736831703033189e+00 6.284242311752961996e+00 6.284678644899637234e+00 6.534708614946793226e+00 6.592338575419455005e+00
5.320478747285034560e-02 5.260271952425459308e-01 9.718150523346237302e-01 1.181738545126654660e+00 1.554516318503162964e+00 1.924579475548631846e+00 2.714256538460303680e+00 4.742700776697488685e+00 4.882837924421593812e+00 6.278151829523283212e+00 6.278766545728251103e+00 6.525453792179281010e+00 6.587175200933861774e+00
5.453490715967160285e-02 5.427844055945513224e-01 9.936381422573499211e-01 1.199429711872920246e+00 1.577149276660088306e+00 1.958696989203325245e+00 2.716702970824320218e+00 4.737005057122913421e+00 4.880005428431968717e+00 6.271429551539731584e+00 6.273216726426137591e+00 6.515926123241104762e+00 6.581943672341284746e+00
5.586502684649285316e-02 5.596387791366553843e-01 1.015268522574820809e+00 1.217083851918952409e+00 1.598185783018625461e+00 1.992245006859535872e+00 2.720147084670587745e+00 4.731556438727051450e+00 4.877247964845327743e+00 6.264511614751407720e+00 6.267597644942053847e+00 6.506124181500571702e+00 6.576648583765770439e+00
5.719514653331411735e-02 5.765881871365471367e-01 1.036700406200561142e+00 1.234687569814104213e+00 1.617567760646701380e+00 2.025189658149444849e+00 2.724644850487376591e+00 4.726384667992903132e+00 4.874574185927786907e+00 6.257398041841167213e+00 6.261914198672550391e+00 6.496046654548535138e+00 6.571294625401875145e+00
5.852526622013537461e-02 5.936301036373776707e-01 1.057927942939859367e+00 1.252227883691480637e+00 1.635246099468107062e+00 2.057497283059194437e+00 2.730243488391391971e+00 4.721520078906294771e+00 4.871992764955042077e+00 6.250089087918013320e+00 6.256171389416435247e+00 6.485692351813169942e+00 6.565886581311544568e+00
5.985538590695663186e-02 6.107615951928455633e-01 1.078945220204851951e+00 1.269692196725968891e+00 1.651182548861078736e+00 2.089134467437611775e+00 2.736979578369782118e+00 4.716993506068375197e+00 4.869512385201730353e+00 6.242585254490459867e+00 6.250374321295327107e+00 6.475060212307687912e+00 6.560429327050162129e+00
6.118550559377788911e-02 6.279793108643262345e-01 1.099746263945708069e+00 1.287068270598618502e+00 1.665351367025139862e+00 2.120068100791883126e+00 2.744877414765205970e+00 4.712836181641024247e+00 4.867141727873547374e+00 6.234887303925800595e+00 6.244528198482774961e+00 6.464149312551362492e+00 6.554927827113206540e+00
6.251562528059914636e-02 6.452794722355220669e-01 1.120325039808842238e+00 1.304344200908933882e+00 1.677740589364619117e+00 2.150265456864469016e+00 2.753947742884171657e+00 4.709079614973743944e+00 4.864889458771004094e+00 6.226996274458477920e+00 6.238638322730997388e+00 6.452958874709588954e+00 6.549387132195001904e+00
6.384574496742040361e-02 6.626578632375927924e-01 1.140675454533243149e+00 1.321508394468701830e+00 1.688352800832081391e+00 2.179694297353546251e+00 2.764186992924780206e+00 4.705755453971479874e+00 4.862764213454353168e+00 6.218913495815804104e+00 6.232710090684183690e+00 6.441488275004782160e+00 6.543812376250981444e+00
6.517586465424166087e-02 6.801098196067136836e-01 1.160791357596085760e+00 1.338549548406279266e+00 1.697205337930738134e+00 2.208322998914083790e+00 2.775577085673290867e+00 4.702895327554315053e+00 4.860774580659651178e+00 6.210640605534512027e+00 6.226748990967102770e+00 6.429737052456657942e+00 6.538208773355028924e+00
6.650598434106291812e-02 6.976302178207318683e-01 1.180666543118908951e+00 1.355456631007569079e+00 1.704329899378045132e+00 2.236120703253840158e+00 2.788085831124199832e+00 4.700530668938522894e+00 4.858929083696876816e+00 6.202179566046901904e+00 6.220760601037865101e+00 6.417704918018140248e+00 6.532581614343494714e+00
6.783610402788417537e-02 7.152134633802933461e-01 1.200294752045281133e+00 1.372218864218934131e+00 1.709771601561852261e+00 2.263057489715334825e+00 2.801667884055510260e+00 4.698692519937123890e+00 4.857236159542161147e+00 6.193532682620923602e+00 6.214750583793660077e+00 6.405391764182029490e+00 6.526936263237790747e+00
6.916622371470543262e-02 7.328534783169380340e-01 1.219669674601280285e+00 1.388825707737787907e+00 1.713587566113897065e+00 2.289104569214967633e+00 2.816266169401604014e+00 4.697411317034993594e+00 4.855704135319184545e+00 6.184702622244094172e+00 6.208724683918400267e+00 6.392797675143699010e+00 6.521278153437559233e+00
7.049634340152668988e-02 7.505436878236873000e-01 1.238784953049315796e+00 1.405266844617845345e+00 1.715845163934793804e+00 2.314234497801883172e+00 2.831813653257369445e+00 4.696716660629898676e+00 4.854341201849019960e+00 6.175692433546834614e+00 6.202688723961470529e+00 6.379922937616990808e+00 6.515612783676888675e+00
7.182646308834794713e-02 7.682770059164851784e-01 1.257634184746015737e+00 1.421532168318120792e+00 1.716620058106648861e+00 2.338421407419100095e+00 2.848235317242421960e+00 4.696637069531356623e+00 4.853155383934920408e+00 6.166505567866452431e+00 6.196648600136999363e+00 6.366768052414180978e+00 6.509945713736336792e+00
7.315658277516920438e-02 7.860458200459715661e-01 1.276210925514218442e+00 1.437611771127112137e+00 1.715994186912122021e+00 2.361641250721335350e+00 2.865450195163412594e+00 4.697199723548918016e+00 4.852154507039195153e+00 6.157145901558516599e+00 6.190610277833507702e+00 6.353333746917263269e+00 6.504282559904067895e+00
7.448670246199046163e-02 8.038419745900814428e-01 1.294508693338741301e+00 1.453495933896497450e+00 1.714053810985478155e+00 2.383872056061326017e+00 2.883373348092180155e+00 4.698430197748042048e+00 4.851346160004427865e+00 6.147617759667728166e+00 6.184579786824272674e+00 6.339620988586663231e+00 6.498628990179930121e+00
7.581682214881171888e-02 8.216567531699645599e-01 1.312520972394859653e+00 1.469175117021387811e+00 1.710887721063717670e+00 2.405094188039402781e+00 2.901917681514185610e+00 4.700352192663768136e+00 4.850737653472232402e+00 6.137925941075083713e+00 6.178563216169354888e+00 6.325630999676278954e+00 6.492990719217014650e+00
7.714694183563296226e-02 8.394808597440344133e-01 1.330241217417853283e+00 1.484639952607239355e+00 1.706585671022032846e+00 2.425290608366033940e+00 2.920995539956670495e+00 4.702987265393140603e+00 4.850335973660737210e+00 6.128075745242496097e+00 6.172566708801038082e+00 6.311365273350488359e+00 6.487373502995980701e+00
7.847706152245421951e-02 8.573043984494880254e-01 1.347662858420961340e+00 1.499881237766164110e+00 1.701237070117274541e+00 2.444447131264491979e+00 2.940520045228760093e+00 4.706354566985416987e+00 4.850147731178305222e+00 6.118073000678840856e+00 6.166596455785154696e+00 6.296825591430855518e+00 6.481783133228241844e+00
7.980718120927547676e-02 8.751168521777211717e-01 1.364779305768179407e+00 1.514889928988379042e+00 1.694929942212419549e+00 2.462552667289449104e+00 2.960406170507829504e+00 4.710470591864003076e+00 4.850179104577579281e+00 6.107924095253296493e+00 6.160658690251976211e+00 6.282014044038636058e+00 6.476225431485191031e+00
8.113730089609673402e-02 8.929070598897784761e-01 1.381583955606995540e+00 1.529657137536539313e+00 1.687750139994240728e+00 2.479599449302238412e+00 2.980571562207258829e+00 4.715348945099377964e+00 4.850435778391782193e+00 6.097636008481305936e+00 6.154759680991359616e+00 6.266933051445310099e+00 6.470706243051585815e+00
8.246742058291799127e-02 9.106631927027474260e-01 1.398070195665181981e+00 1.544174125813659204e+00 1.679780789100649541e+00 2.495583234458981448e+00 3.000937134584426236e+00 4.721000133171257218e+00 4.850922875446552318e+00 6.087216345905388515e+00 6.148905725708176284e+00 6.251585388499198537e+00 6.465231430502498711e+00
8.379754026973924852e-02 9.283727288065415362e-01 1.414231411413887196e+00 1.558432304656716338e+00 1.671101929908006101e+00 2.510503476453693761e+00 3.021427469128335375e+00 4.727431383388093877e+00 4.851644883306558853e+00 6.076673375686265643e+00 6.143103143935537247e+00 6.235974212063609023e+00 6.459806867004500575e+00
8.512765995656050577e-02 9.460224273064123945e-01 1.430060992598127356e+00 1.572423231510382102e+00 1.661790322248424490e+00 2.524363462916173528e+00 3.041971053148199822e+00 4.734646496367882484e+00 4.852605574798418253e+00 6.066016067508343212e+00 6.137358269604953342e+00 6.220103091984160670e+00 6.454438429343114514e+00
8.645777964338176302e-02 9.635983011284326993e-01 1.445552340133455571e+00 1.586138609436357649e+00 1.651919379166072455e+00 2.537170413774645805e+00 3.062500391033457170e+00 4.742645734941000057e+00 4.853807922651469653e+00 6.055254133885821233e+00 6.131677443274240247e+00 6.203976046203210082e+00 6.449131990680175619e+00
8.778789933020302028e-02 9.810855891762486625e-01 1.460698873366192529e+00 1.599570286915466211e+00 1.641559198740159209e+00 2.548935537515142791e+00 3.082952018613525969e+00 4.751425751548499221e+00 4.855254008416835632e+00 6.044398073930261184e+00 6.126067004016088724e+00 6.187597580762212779e+00 6.443893413046247076e+00
