# frequency_THz total_states_per_THz_per_atom In_contribution Se_contribution
-5.000000000000000000e-01 8.158271582674807833e-09 4.829607163915673253e-09 3.328664418759131271e-09
-4.799999999999999822e-01 2.272098808374517299e-08 1.345026555256538729e-08 9.270722531179798933e-09
-4.599999999999999645e-01 6.091089682299725105e-08 3.605685705038428641e-08 2.485403977261296133e-08
-4.399999999999999467e-01 1.572041303966858624e-07 9.305617611435746768e-08 6.414795428232843441e-08
-4.199999999999999289e-01 3.906634703519019752e-07 2.312445339005955823e-07 1.594189364513064988e-07
-3.999999999999999112e-01 9.349476687765789192e-07 5.534040440233098414e-07 3.815436247532690249e-07
-3.799999999999998934e-01 2.155267323813102163e-06 1.275678746935869448e-06 8.795885768772337742e-07
-3.599999999999998757e-01 4.786708582622190014e-06 2.833093805935908625e-06 1.953614776686280118e-06
-3.399999999999998579e-01 1.024466213674212729e-05 6.063227381064861482e-06 4.181434755677265812e-06
-3.199999999999998401e-01 2.113476431267550856e-05 1.250789182583267788e-05 8.626872486842835768e-06
-2.999999999999998224e-01 4.204009257387519860e-05 2.487876713851951214e-05 1.716132543535568307e-05
-2.799999999999998046e-01 8.065636054394205445e-05 4.772874239153641689e-05 3.292761815240567822e-05
-2.599999999999997868e-01 1.493074225961007714e-04 8.834791190816493290e-05 6.095951068793583168e-05
-2.399999999999997691e-01 2.667904949295230770e-04 1.578540362123187577e-04 1.089364587172043193e-04
-2.199999999999997513e-01 4.603686572129549095e-04 2.723691815971705766e-04 1.879994756157845226e-04
-1.999999999999997335e-01 7.675607692961742114e-04 4.540751246293595316e-04 3.134856446668148966e-04
-1.799999999999997158e-01 1.237214193661353599e-03 7.318426331612559732e-04 5.053715605000974088e-04
-1.599999999999996980e-01 1.929246073408920565e-03 1.141070886716971005e-03 7.881751866919495600e-04
-1.399999999999996803e-01 2.912477322513482621e-03 1.722396266151170717e-03 1.190081056362312772e-03
-1.199999999999996625e-01 4.260216430691252457e-03 2.519067947498923338e-03 1.741148483192329335e-03
-9.999999999999964473e-02 6.043684379393074804e-03 3.573045098639504071e-03 2.470639280753571601e-03
-7.999999999999962697e-02 8.323939067408381645e-03 4.920206465972068108e-03 3.403732601436315272e-03
-5.999999999999960920e-02 1.114351372570825463e-02 6.585392464758678399e-03 4.558121260949573629e-03
-3.999999999999959144e-02 1.451934349266800588e-02 8.578212753779956845e-03 5.941130738888057705e-03
-1.999999999999957367e-02 1.843855438903480373e-02 1.089055203651273160e-02 7.548002352522066929e-03
4.440892098500626162e-16 2.285825871738507431e-02 1.349645170352091472e-02 9.361807013864169996e-03
2.000000000000046185e-02 2.770970761590277331e-02 1.635457479285332139e-02 1.135513282304943458e-02
4.000000000000047962e-02 3.290619448671591729e-02 1.941289473445453884e-02 1.349329975226138886e-02
6.000000000000049738e-02 3.835325279953702426e-02 2.261474469413407226e-02 1.573850810540294853e-02
8.000000000000051514e-02 4.395919608883683966e-02 2.590507075675913679e-02 1.805412533207773410e-02
1.000000000000005329e-01 4.964404471872010255e-02 2.923573031975998382e-02 2.040831439896008404e-02
1.200000000000005507e-01 5.534535779362138169e-02 3.256895775153755695e-02 2.277640004208383862e-02
1.400000000000005684e-01 6.102028602147851338e-02 3.587859171758928101e-02 2.514169430388925666e-02
1.600000000000005862e-01 6.664405205588916359e-02 3.914918617118929439e-02 2.749486588469990389e-02
1.800000000000006040e-01 7.220581787447036270e-02 4.237357304284932596e-02 2.983224483162101592e-02
2.000000000000006217e-01 7.770334397440346874e-02 4.554970836271511614e-02 3.215363561168831097e-02
2.200000000000006395e-01 8.313790550613683883e-02 4.867766919979350793e-02 3.446023630634327539e-02
2.400000000000006573e-01 8.851062696710444710e-02 5.175748877930955172e-02 3.675313818779491620e-02
2.600000000000006750e-01 9.382083622324019490e-02 5.478818443576019548e-02 3.903265178748004799e-02
2.800000000000006928e-01 9.906638752004497117e-02 5.776794661531432784e-02 4.129844090473065027e-02
3.000000000000007105e-01 1.042453520595747890e-01 6.069512969088992904e-02 4.355022236868480445e-02
3.200000000000007283e-01 1.093581873041365726e-01 6.356951394244921005e-02 4.578867336168741808e-02
3.400000000000007461e-01 1.144095566488518706e-01 6.639334278984390658e-02 4.801621385900793626e-02
3.600000000000007638e-01 1.194093474715110514e-01 6.917186166094388411e-02 5.023748581056712570e-02
3.800000000000007816e-01 1.243729783316314813e-01 7.191340681354589648e-02 5.245957151808561258e-02
4.000000000000007994e-01 1.293215707304543050e-01 7.462938194525786662e-02 5.469218878519650773e-02
4.200000000000008171e-01 1.342827641571989750e-01 7.733458643876887917e-02 5.694817771843002641e-02
4.400000000000008349e-01 1.392927389094509028e-01 8.004824182003925093e-02 5.924449708941179060e-02
4.600000000000008527e-01 1.443993949213202288e-01 8.279571157235676715e-02 6.160368334896336451e-02
4.800000000000008704e-01 1.496658019509928272e-01 8.561043162720349819e-02 6.405537032378935680e-02
5.000000000000008882e-01 1.551723000652213136e-01 8.853514544817014942e-02 6.663715461705124743e-02
5.200000000000009059e-01 1.610153323084232424e-01 9.162136478067867129e-02 6.939396752774448784e-02
5.400000000000009237e-01 1.673014782834015002e-01 9.492619224120005250e-02 7.237528604220155870e-02
5.600000000000009415e-01 1.741362590346929862e-01 9.850625861003944883e-02 7.563000042465350958e-02
5.800000000000009592e-01 1.816088636140508195e-01 1.024094076754465676e-01 7.919945593860425181e-02
6.000000000000009770e-01 1.897755436277224483e-01 1.066656413720515895e-01 8.310990225567083112e-02
6.200000000000009948e-01 1.986454837658560013e-01 1.112794100052618140e-01 8.736607376059431218e-02
6.400000000000010125e-01 2.081730415554793601e-01 1.162253550926900247e-01 9.194768646278941859e-02
6.600000000000010303e-01 2.182592068590095691e-01 1.214490109485048264e-01 9.681019591050495088e-02
6.800000000000010481e-01 2.287631924330897348e-01 1.268728847856503972e-01 1.018903076474395042e-01
7.000000000000010658e-01 2.395227940631740882e-01 1.324070841376271401e-01 1.071157099255470035e-01
7.200000000000010836e-01 2.503802517123979721e-01 1.379626356242251439e-01 1.124176160881727310e-01
7.400000000000011013e-01 2.612093652323331794e-01 1.434651513435660219e-01 1.177442138887671297e-01
7.600000000000011191e-01 2.719397629441813735e-01 1.488666520601268917e-01 1.230731108840545929e-01
7.800000000000011369e-01 2.825752331991989719e-01 1.541540043601847820e-01 1.284212288390142453e-01
8.000000000000011546e-01 2.932043357191796429e-01 1.593532495740506982e-01 1.338510861451291389e-01
8.200000000000011724e-01 3.040025197501771137e-01 1.645297554678173402e-01 1.394727642823598845e-01
