section,material,condition,series,value,unit
strain,GaS,0,armchair,10.364,W/mK
strain,GaS,0,zigzag,10.364,W/mK
strain,GaS,2,armchair,11.466,W/mK
strain,GaS,2,zigzag,10.807,W/mK
strain,GaS,4,armchair,12.714,W/mK
strain,GaS,4,zigzag,10.981,W/mK
strain,GaS,6,armchair,12.947,W/mK
strain,GaS,6,zigzag,11.06,W/mK
strain,GaSe,0,armchair,7.327,W/mK
strain,GaSe,0,zigzag,7.327,W/mK
strain,GaSe,2,armchair,7.82,W/mK
strain,GaSe,2,zigzag,7.351,W/mK
strain,GaSe,4,armchair,8.163,W/mK
strain,GaSe,4,zigzag,7.437,W/mK
strain,GaSe,6,armchair,8.673,W/mK
strain,GaSe,6,zigzag,7.59,W/mK
strain,InSe,0,armchair,2.578,W/mK
strain,InSe,0,zigzag,2.578,W/mK
strain,InSe,2,armchair,2.866,W/mK
strain,InSe,2,zigzag,2.625,W/mK
strain,InSe,4,armchair,3.042,W/mK
strain,InSe,4,zigzag,2.65,W/mK
strain,InSe,6,armchair,3.175,W/mK
strain,InSe,6,zigzag,2.677,W/mK
vacancy,GaS,0.25,metal_vacancy,6.858,W/mK
vacancy,GaS,0.25,chalcogen_vacancy,6.956,W/mK
vacancy,GaS,0.25,bonded_divacancy,7.793,W/mK
vacancy,GaS,0.5,metal_vacancy,5.163,W/mK
vacancy,GaS,0.5,chalcogen_vacancy,5.658,W/mK
vacancy,GaS,0.5,bonded_divacancy,6.278,W/mK
vacancy,GaS,1,metal_vacancy,3.793,W/mK
vacancy,GaS,1,chalcogen_vacancy,4.028,W/mK
vacancy,GaS,1,bonded_divacancy,4.588,W/mK
vacancy,GaS,2,metal_vacancy,2.727,W/mK
vacancy,GaS,2,chalcogen_vacancy,2.971,W/mK
vacancy,GaS,2,bonded_divacancy,3.023,W/mK
vacancy,GaS,3,metal_vacancy,2.147,W/mK
vacancy,GaS,3,chalcogen_vacancy,2.545,W/mK
vacancy,GaS,3,bonded_divacancy,2.595,W/mK
vacancy,GaS,4,metal_vacancy,1.903,W/mK
vacancy,GaS,4,chalcogen_vacancy,2.366,W/mK
vacancy,GaS,4,bonded_divacancy,2.151,W/mK
vacancy,GaS,5,metal_vacancy,1.812,W/mK
vacancy,GaS,5,chalcogen_vacancy,2.017,W/mK
vacancy,GaS,5,bonded_divacancy,1.937,W/mK
vacancy,GaSe,0.25,metal_vacancy,4.797,W/mK
vacancy,GaSe,0.25,chalcogen_vacancy,4.918,W/mK
vacancy,GaSe,0.25,bonded_divacancy,5.415,W/mK
vacancy,GaSe,0.5,metal_vacancy,3.634,W/mK
vacancy,GaSe,0.5,chalcogen_vacancy,3.835,W/mK
vacancy,GaSe,0.5,bonded_divacancy,4.113,W/mK
vacancy,GaSe,1,metal_vacancy,2.544,W/mK
vacancy,GaSe,1,chalcogen_vacancy,2.889,W/mK
vacancy,GaSe,1,bonded_divacancy,3.142,W/mK
vacancy,GaSe,2,metal_vacancy,1.711,W/mK
vacancy,GaSe,2,chalcogen_vacancy,2.033,W/mK
vacancy,GaSe,2,bonded_divacancy,1.989,W/mK
vacancy,GaSe,3,metal_vacancy,1.334,W/mK
vacancy,GaSe,3,chalcogen_vacancy,1.696,W/mK
vacancy,GaSe,3,bonded_divacancy,1.601,W/mK
vacancy,GaSe,4,metal_vacancy,1.129,W/mK
vacancy,GaSe,4,chalcogen_vacancy,1.418,W/mK
vacancy,GaSe,4,bonded_divacancy,1.33,W/mK
vacancy,GaSe,5,metal_vacancy,1.02,W/mK
vacancy,GaSe,5,chalcogen_vacancy,1.152,W/mK
vacancy,GaSe,5,bonded_divacancy,1.04,W/mK
vacancy,InSe,0.25,metal_vacancy,2.064,W/mK
vacancy,InSe,0.25,chalcogen_vacancy,2.021,W/mK
vacancy,InSe,0.25,bonded_divacancy,2.107,W/mK
vacancy,InSe,0.5,metal_vacancy,1.791,W/mK
vacancy,InSe,0.5,chalcogen_vacancy,1.684,W/mK
vacancy,InSe,0.5,bonded_divacancy,1.954,W/mK
vacancy,InSe,1,metal_vacancy,1.366,W/mK
vacancy,InSe,1,chalcogen_vacancy,1.342,W/mK
vacancy,InSe,1,bonded_divacancy,1.588,W/mK
vacancy,InSe,2,metal_vacancy,1.019,W/mK
vacancy,InSe,2,chalcogen_vacancy,0.942,W/mK
vacancy,InSe,2,bonded_divacancy,1.191,W/mK
vacancy,InSe,3,metal_vacancy,0.844,W/mK
vacancy,InSe,3,chalcogen_vacancy,0.763,W/mK
vacancy,InSe,3,bonded_divacancy,0.96,W/mK
vacancy,InSe,4,metal_vacancy,0.683,W/mK
vacancy,InSe,4,chalcogen_vacancy,0.685,W/mK
vacancy,InSe,4,bonded_divacancy,0.912,W/mK
vacancy,InSe,5,metal_vacancy,0.511,W/mK
vacancy,InSe,5,chalcogen_vacancy,0.534,W/mK
vacancy,InSe,5,bonded_divacancy,0.711,W/mK
shorter_lengths,GaS,26.019331812200043,finite_length,6.176000000000033,W/mK
shorter_lengths,GaS,42.94258924013005,finite_length,7.603000000000018,W/mK
shorter_lengths,GaS,75.47467075538012,finite_length,9.408000000000063,W/mK
shorter_lengths,GaS,118.39646099551005,finite_length,10.798000000000002,W/mK
shorter_lengths,GaS,176.94768632296024,finite_length,11.930000000000003,W/mK
shorter_lengths,GaS,206.90315415699,finite_length,12.585000000000003,W/mK
shorter_lengths,GaS,k_inf,fit,14.047868577139816,W/mK
shorter_lengths,GaS,lambda_eff,fit,34.18719077175392,nm
shorter_lengths,GaS,R2,fit,0.9914197922495105,dimensionless
shorter_lengths,GaSe,27.835448667949898,finite_length,4.5630000000000095,W/mK
shorter_lengths,GaSe,45.92950730211744,finite_length,5.577000000000028,W/mK
shorter_lengths,GaSe,80.72853613705497,finite_length,6.775000000000007,W/mK
shorter_lengths,GaSe,126.62582343917181,finite_length,7.914000000000011,W/mK
shorter_lengths,GaSe,189.25234294205893,finite_length,8.78700000000004,W/mK
shorter_lengths,GaSe,233.69475481077902,finite_length,9.225000000000009,W/mK
shorter_lengths,GaSe,k_inf,fit,10.185087718305512,W/mK
shorter_lengths,GaSe,lambda_eff,fit,35.54563760568907,nm
shorter_lengths,GaSe,R2,fit,0.9875897896808411,dimensionless
shorter_lengths,InSe,29.693123395634938,finite_length,1.874000000000001,W/mK
shorter_lengths,InSe,43.07447742367073,finite_length,2.070000000000002,W/mK
shorter_lengths,InSe,68.32991480996041,finite_length,2.473000000000004,W/mK
shorter_lengths,InSe,96.50671953581409,finite_length,2.6260000000000057,W/mK
shorter_lengths,InSe,135.08963495013896,finite_length,2.7030000000000043,W/mK
shorter_lengths,InSe,181.15389971337316,finite_length,3.101000000000007,W/mK
shorter_lengths,InSe,k_inf,fit,3.3014083481117145,W/mK
shorter_lengths,InSe,lambda_eff,fit,23.57029641112526,nm
shorter_lengths,InSe,R2,fit,0.9698100727711947,dimensionless
