material,removed_atoms_percent,defect_type,k_W_mK
GaS,0.25,metal_vacancy,6.858
GaS,0.25,chalcogen_vacancy,6.956
GaS,0.25,bonded_divacancy,7.793
GaS,0.5,metal_vacancy,5.163
GaS,0.5,chalcogen_vacancy,5.658
GaS,0.5,bonded_divacancy,6.278
GaS,1,metal_vacancy,3.793
GaS,1,chalcogen_vacancy,4.028
GaS,1,bonded_divacancy,4.588
GaS,2,metal_vacancy,2.727
GaS,2,chalcogen_vacancy,2.971
GaS,2,bonded_divacancy,3.023
GaS,3,metal_vacancy,2.147
GaS,3,chalcogen_vacancy,2.545
GaS,3,bonded_divacancy,2.595
GaS,4,metal_vacancy,1.903
GaS,4,chalcogen_vacancy,2.366
GaS,4,bonded_divacancy,2.151
GaS,5,metal_vacancy,1.812
GaS,5,chalcogen_vacancy,2.017
GaS,5,bonded_divacancy,1.937
GaSe,0.25,metal_vacancy,4.797
GaSe,0.25,chalcogen_vacancy,4.918
GaSe,0.25,bonded_divacancy,5.415
GaSe,0.5,metal_vacancy,3.634
GaSe,0.5,chalcogen_vacancy,3.835
GaSe,0.5,bonded_divacancy,4.113
GaSe,1,metal_vacancy,2.544
GaSe,1,chalcogen_vacancy,2.889
GaSe,1,bonded_divacancy,3.142
GaSe,2,metal_vacancy,1.711
GaSe,2,chalcogen_vacancy,2.033
GaSe,2,bonded_divacancy,1.989
GaSe,3,metal_vacancy,1.334
GaSe,3,chalcogen_vacancy,1.696
GaSe,3,bonded_divacancy,1.601
GaSe,4,metal_vacancy,1.129
GaSe,4,chalcogen_vacancy,1.418
GaSe,4,bonded_divacancy,1.33
GaSe,5,metal_vacancy,1.02
GaSe,5,chalcogen_vacancy,1.152
GaSe,5,bonded_divacancy,1.04
InSe,0.25,metal_vacancy,2.064
InSe,0.25,chalcogen_vacancy,2.021
InSe,0.25,bonded_divacancy,2.107
InSe,0.5,metal_vacancy,1.791
InSe,0.5,chalcogen_vacancy,1.684
InSe,0.5,bonded_divacancy,1.954
InSe,1,metal_vacancy,1.366
InSe,1,chalcogen_vacancy,1.342
InSe,1,bonded_divacancy,1.588
InSe,2,metal_vacancy,1.019
InSe,2,chalcogen_vacancy,0.942
InSe,2,bonded_divacancy,1.191
InSe,3,metal_vacancy,0.844
InSe,3,chalcogen_vacancy,0.763
InSe,3,bonded_divacancy,0.96
InSe,4,metal_vacancy,0.683
InSe,4,chalcogen_vacancy,0.685
InSe,4,bonded_divacancy,0.912
InSe,5,metal_vacancy,0.511
InSe,5,chalcogen_vacancy,0.534
InSe,5,bonded_divacancy,0.711
