# freq_THz  G_total  G_Ga  G_S
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
6.1035156250e-02 6.7170295817e-02 4.7454918948e-02 1.9715376869e-02
1.2207031250e-01 2.5873881491e-01 1.8272838779e-01 7.6010427126e-02
1.8310546875e-01 2.1987241876e-01 1.5541551110e-01 6.4456907654e-02
2.4414062500e-01 2.0830734162e-01 1.4736341566e-01 6.0943925964e-02
3.0517578125e-01 1.4330401349e-01 1.0150119648e-01 4.1802817010e-02
3.6621093750e-01 1.9335098569e-01 1.3703023232e-01 5.6320753372e-02
4.2724609375e-01 1.4611498292e-01 1.0370544044e-01 4.2409542484e-02
4.8828125000e-01 2.4057896099e-01 1.7100498623e-01 6.9573974751e-02
5.4931640625e-01 1.9942601064e-01 1.4201977918e-01 5.7406231457e-02
6.1035156250e-01 1.9409829108e-01 1.3859791975e-01 5.5500371335e-02
6.7138671875e-01 2.5270250754e-01 1.8052224693e-01 7.2180260612e-02
7.3242187500e-01 3.1677329822e-01 2.2667776361e-01 9.0095534604e-02
7.9345703125e-01 3.6531874070e-01 2.6214762052e-01 1.0317112018e-01
8.5449218750e-01 2.9070004534e-01 2.0923411301e-01 8.1465932329e-02
9.1552734375e-01 3.3602630750e-01 2.4232490599e-01 9.3701401503e-02
9.7656250000e-01 3.8348461705e-01 2.7690568715e-01 1.0657892989e-01
1.0375976562e+00 3.5505334136e-01 2.5734686869e-01 9.7706472674e-02
1.0986328125e+00 4.0176732052e-01 2.9228312216e-01 1.0948419836e-01
1.1596679688e+00 4.4674775868e-01 3.2586661671e-01 1.2088114197e-01
1.2207031250e+00 3.9404655523e-01 2.8859016342e-01 1.0545639181e-01
1.2817382812e+00 4.3900646388e-01 3.2254804771e-01 1.1645841617e-01
1.3427734375e+00 4.8944942711e-01 3.5953175296e-01 1.2991767415e-01
1.4038085938e+00 6.1771351523e-01 4.5127825188e-01 1.6643526335e-01
1.4648437500e+00 7.1323120637e-01 5.1858520338e-01 1.9464600299e-01
1.5258789062e+00 7.3472355461e-01 5.3679363235e-01 1.9792992226e-01
1.5869140625e+00 7.5599487900e-01 5.5670279546e-01 1.9929208354e-01
1.6479492188e+00 7.9383193462e-01 5.8737008141e-01 2.0646185321e-01
1.7089843750e+00 8.0280570396e-01 5.9651912325e-01 2.0628658071e-01
1.7700195312e+00 8.6151578714e-01 6.4406094763e-01 2.1745483950e-01
1.8310546875e+00 8.7272838113e-01 6.5738179327e-01 2.1534658786e-01
1.8920898438e+00 9.0042582698e-01 6.8442972870e-01 2.1599609828e-01
1.9531250000e+00 9.2725450788e-01 7.1149248665e-01 2.1576202123e-01
2.0141601562e+00 9.8973223103e-01 7.6424224362e-01 2.2548998741e-01
2.0751953125e+00 1.0029538739e+00 7.7932123062e-01 2.2363264330e-01
2.1362304688e+00 1.0530780556e+00 8.2789226877e-01 2.2518578686e-01
2.1972656250e+00 1.1442323029e+00 9.0443729895e-01 2.3979500399e-01
2.2583007812e+00 1.1920263057e+00 9.4690168421e-01 2.4512462148e-01
2.3193359375e+00 1.2417885544e+00 9.9053810187e-01 2.5125045248e-01
2.3803710938e+00 1.2119258658e+00 9.6794282139e-01 2.4398304439e-01
2.4414062500e+00 1.2655382009e+00 1.0078211206e+00 2.5771708031e-01
2.5024414062e+00 1.2548317961e+00 9.9623508345e-01 2.5859671268e-01
2.5634765625e+00 1.2270321782e+00 9.6550708979e-01 2.6152508839e-01
2.6245117188e+00 1.2549481842e+00 9.8474695868e-01 2.7020122555e-01
2.6855468750e+00 1.1956665500e+00 9.3470141426e-01 2.6096513572e-01
2.7465820312e+00 1.2575777030e+00 9.8169190525e-01 2.7588579779e-01
2.8076171875e+00 1.3613129781e+00 1.0641747463e+00 2.9713823177e-01
2.8686523438e+00 1.4327250355e+00 1.1196827145e+00 3.1304232103e-01
2.9296875000e+00 1.4756642136e+00 1.1499929775e+00 3.2567123612e-01
2.9907226562e+00 1.4977164268e+00 1.1625540974e+00 3.3516232944e-01
3.0517578125e+00 1.3838059862e+00 1.0574243511e+00 3.2638163511e-01
3.1127929688e+00 1.2147906329e+00 9.1111898964e-01 3.0367164323e-01
3.1738281250e+00 1.1953666379e+00 8.8730002695e-01 3.0806661094e-01
3.2348632812e+00 1.2216123848e+00 8.9880847034e-01 3.2280391447e-01
3.2958984375e+00 1.2983733702e+00 9.4667964054e-01 3.5169372971e-01
3.3569335938e+00 1.3795675882e+00 9.9683715862e-01 3.8273042961e-01
3.4179687500e+00 1.4444507413e+00 1.0330626970e+00 4.1138804435e-01
3.4790039062e+00 1.5563942984e+00 1.1009588023e+00 4.5543549609e-01
3.5400390625e+00 1.7181881113e+00 1.1983208177e+00 5.1986729357e-01
3.6010742188e+00 1.9229842003e+00 1.3179892505e+00 6.0499494984e-01
3.6621093750e+00 2.1137158621e+00 1.4249925809e+00 6.8872328125e-01
3.7231445312e+00 2.0078520306e+00 1.3464531506e+00 6.6139888003e-01
3.7841796875e+00 1.7731862062e+00 1.1976372398e+00 5.7554896640e-01
3.8452148438e+00 1.7367990103e+00 1.1797429639e+00 5.5705604646e-01
3.9062500000e+00 1.7795326118e+00 1.2121902609e+00 5.6734235092e-01
3.9672851562e+00 1.7589137522e+00 1.2004360854e+00 5.5847766680e-01
4.0283203125e+00 1.7400469225e+00 1.1880934979e+00 5.5195342463e-01
4.0893554688e+00 1.7412860763e+00 1.1925599918e+00 5.4872608454e-01
4.1503906250e+00 1.7636960865e+00 1.2118667318e+00 5.5182935466e-01
4.2114257812e+00 1.7564760158e+00 1.2110344468e+00 5.4544156899e-01
4.2724609375e+00 1.7786227167e+00 1.2284109701e+00 5.5021174661e-01
4.3334960938e+00 1.7784707718e+00 1.2277971222e+00 5.5067364962e-01
4.3945312500e+00 1.7736198161e+00 1.2240473053e+00 5.4957251084e-01
4.4555664062e+00 1.7537162105e+00 1.2115764795e+00 5.4213973102e-01
4.5166015625e+00 1.7448590670e+00 1.2136024991e+00 5.3125656783e-01
4.5776367188e+00 1.6785249662e+00 1.1790140356e+00 4.9951093061e-01
4.6386718750e+00 1.6258714408e+00 1.1563647130e+00 4.6950672781e-01
4.6997070312e+00 1.5921677357e+00 1.1421634919e+00 4.5000424375e-01
4.7607421875e+00 1.5910698797e+00 1.1511359815e+00 4.3993389825e-01
4.8217773438e+00 1.6068180315e+00 1.1681633349e+00 4.3865469660e-01
4.8828125000e+00 1.6001348312e+00 1.1666842601e+00 4.3345057115e-01
4.9438476562e+00 1.6133599211e+00 1.1809223552e+00 4.3243756582e-01
5.0048828125e+00 1.6402673897e+00 1.1978139743e+00 4.4245341532e-01
5.0659179688e+00 1.6713755470e+00 1.2131218765e+00 4.5825367041e-01
5.1269531250e+00 1.6644179161e+00 1.2108176076e+00 4.5360030852e-01
5.1879882812e+00 1.5773720542e+00 1.1588692485e+00 4.1850280563e-01
5.2490234375e+00 1.4143905628e+00 1.0544294588e+00 3.5996110397e-01
5.3100585938e+00 1.1703278228e+00 8.8740757348e-01 2.8292024932e-01
5.3710937500e+00 9.6700722693e-01 7.4024052028e-01 2.2676670665e-01
5.4321289062e+00 7.7758633471e-01 5.9466117305e-01 1.8292516166e-01
5.4931640625e+00 6.2635816289e-01 4.7768419370e-01 1.4867396919e-01
5.5541992188e+00 5.0890438535e-01 3.8620497001e-01 1.2269941534e-01
5.6152343750e+00 4.1122442160e-01 3.1077696105e-01 1.0044746055e-01
5.6762695312e+00 3.0804529976e-01 2.3077031741e-01 7.7274982355e-02
5.7373046875e+00 2.3157230760e-01 1.7069133619e-01 6.0880971404e-02
5.7983398438e+00 1.8507236054e-01 1.3457722508e-01 5.0495135454e-02
5.8593750000e+00 1.5833819940e-01 1.1343192209e-01 4.4906277309e-02
5.9204101562e+00 1.3885900563e-01 9.7572952647e-02 4.1286052984e-02
5.9814453125e+00 1.2211073689e-01 8.3833057581e-02 3.8277679309e-02
6.0424804688e+00 1.1073957009e-01 7.4746465992e-02 3.5993104097e-02
6.1035156250e+00 1.0271232785e-01 6.7932374501e-02 3.4779953346e-02
6.1645507812e+00 9.4956349468e-02 6.1221603991e-02 3.3734745477e-02
6.2255859375e+00 8.8402109135e-02 5.5610719969e-02 3.2791389166e-02
6.2866210938e+00 8.3706186452e-02 5.1545064855e-02 3.2161121597e-02
6.3476562500e+00 7.9707312998e-02 4.8133308276e-02 3.1574004722e-02
6.4086914062e+00 7.5773862863e-02 4.4739844910e-02 3.1034017954e-02
6.4697265625e+00 7.3753399161e-02 4.2428091296e-02 3.1325307864e-02
6.5307617188e+00 7.1859601344e-02 4.0311063185e-02 3.1548538159e-02
