# freq_THz  G_total_s  G_Ga_s  G_S_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.1; mass_weighted=True; primitive_atoms=4; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
6.1035156250e-02 1.2865599115e-01 9.0901057172e-02 3.7754933980e-02
1.2207031250e-01 1.6130744038e-01 1.1400184974e-01 4.7305590645e-02
1.8310546875e-01 1.8505070338e-01 1.3083934602e-01 5.4211357359e-02
2.4414062500e-01 1.8988957907e-01 1.3435033373e-01 5.5539245338e-02
3.0517578125e-01 1.8503010597e-01 1.3103774501e-01 5.3992360967e-02
3.6621093750e-01 1.8305726533e-01 1.2980195544e-01 5.3255309890e-02
4.2724609375e-01 1.8859102068e-01 1.3392007132e-01 5.4670949358e-02
4.8828125000e-01 1.9931804270e-01 1.4176429816e-01 5.7553744541e-02
5.4931640625e-01 2.1343432403e-01 1.5207121663e-01 6.1363107408e-02
6.1035156250e-01 2.3371414232e-01 1.6683147421e-01 6.6882668114e-02
6.7138671875e-01 2.6179827662e-01 1.8722808554e-01 7.4570191085e-02
7.3242187500e-01 2.9162164730e-01 2.0894885510e-01 8.2672792204e-02
7.9345703125e-01 3.1471449003e-01 2.2595094690e-01 8.8763543129e-02
8.5449218750e-01 3.3032126568e-01 2.3768738365e-01 9.2633882022e-02
9.1552734375e-01 3.4439489442e-01 2.4841892403e-01 9.5975970390e-02
9.7656250000e-01 3.6080033456e-01 2.6094188671e-01 9.9858447847e-02
1.0375976562e+00 3.7903499316e-01 2.7492516858e-01 1.0410982458e-01
1.0986328125e+00 3.9742559629e-01 2.8914555172e-01 1.0828004457e-01
1.1596679688e+00 4.1576074459e-01 3.0337257966e-01 1.1238816493e-01
1.2207031250e+00 4.3879918165e-01 3.2092347896e-01 1.1787570269e-01
1.2817382812e+00 4.7590042451e-01 3.4841152350e-01 1.2748890101e-01
1.3427734375e+00 5.3206897344e-01 3.8938450566e-01 1.4268446778e-01
1.4038085938e+00 6.0023419332e-01 4.3896219674e-01 1.6127199658e-01
1.4648437500e+00 6.6555592699e-01 4.8696248085e-01 1.7859344614e-01
1.5258789062e+00 7.1752412982e-01 5.2625801094e-01 1.9126611887e-01
1.5869140625e+00 7.5622559151e-01 5.5693696120e-01 1.9928863031e-01
1.6479492188e+00 7.8783062198e-01 5.8319950600e-01 2.0463111599e-01
1.7089843750e+00 8.1750846044e-01 6.0866283435e-01 2.0884562610e-01
1.7700195312e+00 8.4700509405e-01 6.3471144920e-01 2.1229364486e-01
1.8310546875e+00 8.7656777866e-01 6.6165694683e-01 2.1491083183e-01
1.8920898438e+00 9.0740061172e-01 6.9033335289e-01 2.1706725883e-01
1.9531250000e+00 9.4140714564e-01 7.2196822320e-01 2.1943892243e-01
2.0141601562e+00 9.7984085685e-01 7.5741296449e-01 2.2242789237e-01
2.0751953125e+00 1.0237472958e+00 7.9749359367e-01 2.2625370212e-01
2.1362304688e+00 1.0734340803e+00 8.4226588086e-01 2.3116819947e-01
2.1972656250e+00 1.1252323758e+00 8.8833744837e-01 2.3689492739e-01
2.2583007812e+00 1.1714038045e+00 9.2899839547e-01 2.4240540903e-01
2.3193359375e+00 1.2057050099e+00 9.5875796442e-01 2.4694704547e-01
2.3803710938e+00 1.2274047556e+00 9.7658699413e-01 2.5081776147e-01
2.4414062500e+00 1.2389413893e+00 9.8427393313e-01 2.5466745614e-01
2.5024414062e+00 1.2427390283e+00 9.8412853393e-01 2.5861049441e-01
2.5634765625e+00 1.2424681171e+00 9.7994754969e-01 2.6252056745e-01
2.6245117188e+00 1.2454996383e+00 9.7856550965e-01 2.6693412862e-01
2.6855468750e+00 1.2619206023e+00 9.8857498510e-01 2.7334561716e-01
2.7465820312e+00 1.2981039799e+00 1.0150129542e+00 2.8309102571e-01
2.8076171875e+00 1.3485531790e+00 1.0529511818e+00 2.9560199722e-01
2.8686523438e+00 1.3955715340e+00 1.0873950893e+00 3.0817644469e-01
2.9296875000e+00 1.4180382496e+00 1.1005598580e+00 3.1747839160e-01
2.9907226562e+00 1.4027812913e+00 1.0814066628e+00 3.2137462842e-01
3.0517578125e+00 1.3550616433e+00 1.0344001675e+00 3.2066147584e-01
3.1127929688e+00 1.3003085884e+00 9.8065717251e-01 3.1965141587e-01
3.1738281250e+00 1.2689659603e+00 9.4500692558e-01 3.2395903470e-01
3.2348632812e+00 1.2767839259e+00 9.3976440825e-01 3.3701951767e-01
3.2958984375e+00 1.3210435048e+00 9.6200377675e-01 3.5903972806e-01
3.3569335938e+00 1.3925104353e+00 1.0034060472e+00 3.8910438815e-01
3.4179687500e+00 1.4868478086e+00 1.0592978837e+00 4.2754992489e-01
3.4790039062e+00 1.6035591621e+00 1.1282550592e+00 4.7530410295e-01
3.5400390625e+00 1.7334590186e+00 1.2038920467e+00 5.2956697192e-01
3.6010742188e+00 1.8484105534e+00 1.2685800322e+00 5.7983052123e-01
3.6621093750e+00 1.9113735041e+00 1.3002356061e+00 6.1113789798e-01
3.7231445312e+00 1.9067594958e+00 1.2911017701e+00 6.1565772571e-01
3.7841796875e+00 1.8582859847e+00 1.2576359361e+00 6.0065004860e-01
3.8452148438e+00 1.8068336300e+00 1.2254503170e+00 5.8138331301e-01
3.9062500000e+00 1.7747875250e+00 1.2072242457e+00 5.6756327932e-01
3.9672851562e+00 1.7600156318e+00 1.2003171257e+00 5.5969850607e-01
4.0283203125e+00 1.7542341219e+00 1.1991930719e+00 5.5504104996e-01
4.0893554688e+00 1.7539505990e+00 1.2018974307e+00 5.5205316827e-01
4.1503906250e+00 1.7578938188e+00 1.2075911259e+00 5.5030269293e-01
4.2114257812e+00 1.7637274968e+00 1.2142770064e+00 5.4945049046e-01
4.2724609375e+00 1.7682622555e+00 1.2194182796e+00 5.4884397591e-01
4.3334960938e+00 1.7682176398e+00 1.2209973159e+00 5.4722032391e-01
4.3945312500e+00 1.7607116900e+00 1.2180035302e+00 5.4270815974e-01
4.4555664062e+00 1.7435628453e+00 1.2101926870e+00 5.3337015826e-01
4.5166015625e+00 1.7160645463e+00 1.1978139367e+00 5.1825060966e-01
4.5776367188e+00 1.6812345930e+00 1.1826186991e+00 4.9861589393e-01
4.6386718750e+00 1.6467475767e+00 1.1686948626e+00 4.7805271411e-01
4.6997070312e+00 1.6210926297e+00 1.1605223514e+00 4.6057027829e-01
4.7607421875e+00 1.6081582136e+00 1.1597995380e+00 4.4835867564e-01
4.8217773438e+00 1.6063714473e+00 1.1649425453e+00 4.4142890201e-01
4.8828125000e+00 1.6123167920e+00 1.1734000719e+00 4.3891672007e-01
4.9438476562e+00 1.6225868687e+00 1.1828503057e+00 4.3973656295e-01
5.0048828125e+00 1.6305230205e+00 1.1892540642e+00 4.4126895629e-01
5.0659179688e+00 1.6224993805e+00 1.1845197480e+00 4.3797963253e-01
5.1269531250e+00 1.5801970928e+00 1.1572966718e+00 4.2290042104e-01
5.1879882812e+00 1.4894015774e+00 1.0976638426e+00 3.9173773479e-01
5.2490234375e+00 1.3494260598e+00 1.0032975994e+00 3.4612846035e-01
5.3100585938e+00 1.1754911742e+00 8.8237698899e-01 2.9311418519e-01
5.3710937500e+00 9.9120758425e-01 7.5007296093e-01 2.4113462333e-01
5.4321289062e+00 8.1716577128e-01 6.2134625713e-01 1.9581951415e-01
5.4931640625e+00 6.6438729840e-01 5.0569096037e-01 1.5869633803e-01
5.5541992188e+00 5.3481379587e-01 4.0616233049e-01 1.2865146538e-01
5.6152343750e+00 4.2582934386e-01 3.2182975988e-01 1.0399958398e-01
5.6762695312e+00 3.3525135443e-01 2.5147723807e-01 8.3774116357e-02
5.7373046875e+00 2.6312870156e-01 1.9528624147e-01 6.7842460089e-02
5.7983398438e+00 2.0951579522e-01 1.5334244240e-01 5.6173352825e-02
5.8593750000e+00 1.7201853083e-01 1.2380563272e-01 4.8212898110e-02
5.9204101562e+00 1.4628838592e-01 1.0332457777e-01 4.2963808147e-02
5.9814453125e+00 1.2817091399e-01 8.8717900456e-02 3.9453013530e-02
6.0424804688e+00 1.1487280700e-01 7.7849934825e-02 3.7022872171e-02
6.1035156250e+00 1.0473198748e-01 6.9435418612e-02 3.5296568872e-02
6.1645507812e+00 9.6719385404e-02 6.2681372485e-02 3.4038012919e-02
6.2255859375e+00 9.0226529563e-02 5.7137116268e-02 3.3089413295e-02
6.2866210938e+00 8.4926646119e-02 5.2557913341e-02 3.2368732778e-02
6.3476562500e+00 8.0624215660e-02 4.8762123393e-02 3.1862092267e-02
6.4086914062e+00 7.7186112059e-02 4.5592542211e-02 3.1593569848e-02
6.4697265625e+00 7.4504284335e-02 4.2927155441e-02 3.1577128894e-02
6.5307617188e+00 7.2449559834e-02 4.0665925481e-02 3.1783634353e-02
6.5917968750e+00 7.0870982593e-02 3.8722298293e-02 3.2148684300e-02
6.6528320312e+00 6.9635579854e-02 3.7032948403e-02 3.2602631450e-02
6.7138671875e+00 6.8672965070e-02 3.5563520265e-02 3.3109444805e-02
6.7749023438e+00 6.8004272679e-02 3.4300911141e-02 3.3703361538e-02
6.8359375000e+00 6.7724606862e-02 3.3241779046e-02 3.4482827816e-02
6.8969726562e+00 6.7942890610e-02 3.2395516612e-02 3.5547373998e-02
6.9580078125e+00 6.8702769621e-02 3.1780984229e-02 3.6921785392e-02
7.0190429688e+00 6.9925534310e-02 3.1396563151e-02 3.8528971158e-02
7.0800781250e+00 7.1457888052e-02 3.1210385651e-02 4.0247502401e-02
7.1411132812e+00 7.3232563959e-02 3.1198281873e-02 4.2034282086e-02
7.2021484375e+00 7.5391028915e-02 3.1380318464e-02 4.4010710451e-02
7.2631835938e+00 7.8215923643e-02 3.1810987321e-02 4.6404936322e-02
7.3242187500e+00 8.1942089332e-02 3.2541478527e-02 4.9400610805e-02
7.3852539062e+00 8.6654250026e-02 3.3602466589e-02 5.3051783437e-02
7.4462890625e+00 9.2356815059e-02 3.5021177947e-02 5.7335637112e-02
7.5073242188e+00 9.9127855385e-02 3.6848796725e-02 6.2279058660e-02
