# freq_THz  G_total  G_Ga  G_S
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
6.1035156250e-02 9.1345948523e-02 6.0161357799e-02 3.1184590724e-02
1.2207031250e-01 1.7163363947e-01 1.1303765102e-01 5.8595988448e-02
1.8310546875e-01 1.6458547681e-01 1.0824480563e-01 5.6340671177e-02
2.4414062500e-01 1.6831114746e-01 1.1065093511e-01 5.7660212355e-02
3.0517578125e-01 1.5498220980e-01 1.0157603987e-01 5.3406169934e-02
3.6621093750e-01 2.2230907857e-01 1.4547299988e-01 7.6836078696e-02
4.2724609375e-01 1.8041325727e-01 1.1764993431e-01 6.2763322964e-02
4.8828125000e-01 2.7867350182e-01 1.8207429349e-01 9.6599208331e-02
5.4931640625e-01 2.1977056323e-01 1.4334601930e-01 7.6424543931e-02
6.1035156250e-01 2.0982971654e-01 1.3602167021e-01 7.3808046333e-02
6.7138671875e-01 2.9563230195e-01 1.9207119983e-01 1.0356110212e-01
7.3242187500e-01 4.2990038785e-01 2.7883468464e-01 1.5106570321e-01
7.9345703125e-01 4.2683464550e-01 2.7607574953e-01 1.5075889597e-01
8.5449218750e-01 3.0311372966e-01 1.9539570110e-01 1.0771802856e-01
9.1552734375e-01 2.9192246400e-01 1.8679024731e-01 1.0513221668e-01
9.7656250000e-01 3.4840403322e-01 2.2253501651e-01 1.2586901671e-01
1.0375976562e+00 3.9151224237e-01 2.4903103955e-01 1.4248120282e-01
1.0986328125e+00 4.2829381211e-01 2.7085768699e-01 1.5743612513e-01
1.1596679688e+00 4.9188220230e-01 3.1011747503e-01 1.8176472727e-01
1.2207031250e+00 4.5320400263e-01 2.8298231412e-01 1.7022168851e-01
1.2817382812e+00 5.0730201864e-01 3.1178582121e-01 1.9551619743e-01
1.3427734375e+00 5.9545971482e-01 3.6187974922e-01 2.3357996559e-01
1.4038085938e+00 6.5521818971e-01 3.9704992733e-01 2.5816826238e-01
1.4648437500e+00 7.3015480401e-01 4.3931272614e-01 2.9084207788e-01
1.5258789062e+00 7.1446792906e-01 4.2480405547e-01 2.8966387359e-01
1.5869140625e+00 7.3779908602e-01 4.3493026019e-01 3.0286882584e-01
1.6479492188e+00 7.8667685698e-01 4.6244670758e-01 3.2423014940e-01
1.7089843750e+00 8.0811408931e-01 4.7319092483e-01 3.3492316448e-01
1.7700195312e+00 8.0090970326e-01 4.6433446719e-01 3.3657523607e-01
1.8310546875e+00 8.0214411017e-01 4.6105385544e-01 3.4109025473e-01
1.8920898438e+00 8.7082572776e-01 4.9861485674e-01 3.7221087102e-01
1.9531250000e+00 9.0642029326e-01 5.1900726621e-01 3.8741302705e-01
2.0141601562e+00 9.8722044847e-01 5.6510849969e-01 4.2211194878e-01
2.0751953125e+00 1.1470684349e+00 6.5365410885e-01 4.9341432607e-01
2.1362304688e+00 1.3119094761e+00 7.4574458179e-01 5.6616489431e-01
2.1972656250e+00 1.3895968324e+00 7.8519272958e-01 6.0440410284e-01
2.2583007812e+00 1.4126907448e+00 7.9473332721e-01 6.1795741763e-01
2.3193359375e+00 1.3770310498e+00 7.7304601864e-01 6.0398503114e-01
2.3803710938e+00 1.3048881575e+00 7.2498802858e-01 5.7990012896e-01
2.4414062500e+00 1.2422400582e+00 6.7787702422e-01 5.6436303398e-01
2.5024414062e+00 1.2212859265e+00 6.6173204529e-01 5.5955388125e-01
2.5634765625e+00 1.2347850487e+00 6.6688149915e-01 5.6790354954e-01
2.6245117188e+00 1.2121568310e+00 6.5855070627e-01 5.5360612469e-01
2.6855468750e+00 1.2368916436e+00 6.7616390242e-01 5.6072774116e-01
2.7465820312e+00 1.2736183791e+00 7.0389370521e-01 5.6972467384e-01
2.8076171875e+00 1.2949091480e+00 7.2065787646e-01 5.7425127155e-01
2.8686523438e+00 1.4170967120e+00 7.9293812224e-01 6.2415858975e-01
2.9296875000e+00 1.5278125512e+00 8.6036672932e-01 6.6744582185e-01
2.9907226562e+00 1.6803940183e+00 9.6424793208e-01 7.1614608622e-01
3.0517578125e+00 1.8068387824e+00 1.0609557521e+00 7.4588303037e-01
3.1127929688e+00 2.0308809797e+00 1.2090950691e+00 8.2178591054e-01
3.1738281250e+00 2.0465886259e+00 1.2255904309e+00 8.2099819495e-01
3.2348632812e+00 1.8673021396e+00 1.1112784168e+00 7.5602372285e-01
3.2958984375e+00 1.7403704850e+00 1.0280557860e+00 7.1231469897e-01
3.3569335938e+00 1.6586942773e+00 9.8180647613e-01 6.7688780119e-01
3.4179687500e+00 1.5814641784e+00 9.5079618091e-01 6.3066799753e-01
3.4790039062e+00 1.5614562867e+00 9.5684542501e-01 6.0461086165e-01
3.5400390625e+00 1.5779204600e+00 9.8077942393e-01 5.9714103603e-01
3.6010742188e+00 1.6503694396e+00 1.0362451405e+00 6.1412429918e-01
3.6621093750e+00 1.7108847839e+00 1.0798571427e+00 6.3102764117e-01
3.7231445312e+00 1.7229602335e+00 1.0875174447e+00 6.3544278881e-01
3.7841796875e+00 1.6654775228e+00 1.0520345831e+00 6.1344293971e-01
3.8452148438e+00 1.6496066086e+00 1.0437405106e+00 6.0586609802e-01
3.9062500000e+00 1.6809435636e+00 1.0653177764e+00 6.1562578723e-01
3.9672851562e+00 1.7011332945e+00 1.0786680844e+00 6.2246521017e-01
4.0283203125e+00 1.7021673483e+00 1.0812614386e+00 6.2090590978e-01
4.0893554688e+00 1.6648172594e+00 1.0593978202e+00 6.0541943918e-01
4.1503906250e+00 1.6552347724e+00 1.0563455744e+00 5.9888919800e-01
4.2114257812e+00 1.6542384119e+00 1.0580227644e+00 5.9621564743e-01
4.2724609375e+00 1.5770497878e+00 1.0131356734e+00 5.6391411438e-01
4.3334960938e+00 1.5364362301e+00 9.9358622969e-01 5.4285000041e-01
4.3945312500e+00 1.4776191431e+00 9.6362028097e-01 5.1399886215e-01
4.4555664062e+00 1.4314916540e+00 9.4345538565e-01 4.8803626831e-01
4.5166015625e+00 1.4055677188e+00 9.3516027110e-01 4.7040744765e-01
4.5776367188e+00 1.4072769396e+00 9.4500114455e-01 4.6227579503e-01
4.6386718750e+00 1.4108591728e+00 9.5679023367e-01 4.5406893909e-01
4.6997070312e+00 1.4341155995e+00 9.7696347231e-01 4.5715212723e-01
4.7607421875e+00 1.4574686083e+00 9.9909766530e-01 4.5837094301e-01
4.8217773438e+00 1.4759017162e+00 1.0161724366e+00 4.5972927960e-01
4.8828125000e+00 1.5046359706e+00 1.0421960716e+00 4.6243989900e-01
4.9438476562e+00 1.5157436968e+00 1.0586740733e+00 4.5706962349e-01
5.0048828125e+00 1.4602367856e+00 1.0253415630e+00 4.3489522268e-01
5.0659179688e+00 1.3854688726e+00 9.8092221442e-01 4.0454665822e-01
5.1269531250e+00 1.3668629661e+00 9.7265249314e-01 3.9421047296e-01
5.1879882812e+00 1.2899813748e+00 9.2255891917e-01 3.6742245568e-01
5.2490234375e+00 1.1721303930e+00 8.4372565949e-01 3.2840473353e-01
5.3100585938e+00 1.0675841468e+00 7.7354022084e-01 2.9404392593e-01
5.3710937500e+00 9.8644466237e-01 7.1529708754e-01 2.7114757483e-01
5.4321289062e+00 9.0478770177e-01 6.5669762710e-01 2.4809007467e-01
5.4931640625e+00 7.7717628527e-01 5.6472397023e-01 2.1245231505e-01
5.5541992188e+00 6.4128129106e-01 4.6334897388e-01 1.7793231717e-01
5.6152343750e+00 5.1472620417e-01 3.6996436892e-01 1.4476183525e-01
5.6762695312e+00 4.1147588498e-01 2.9405769006e-01 1.1741819492e-01
5.7373046875e+00 3.1448279223e-01 2.2311341226e-01 9.1369379962e-02
5.7983398438e+00 2.3781222167e-01 1.6617026491e-01 7.1641956759e-02
5.8593750000e+00 1.9103190070e-01 1.3107392631e-01 5.9957974388e-02
5.9204101562e+00 1.5979721545e-01 1.0718751350e-01 5.2609701949e-02
5.9814453125e+00 1.3915904397e-01 9.1387096426e-02 4.7771947546e-02
6.0424804688e+00 1.2439868980e-01 7.9912178944e-02 4.4486510859e-02
6.1035156250e+00 1.1101250802e-01 6.9537424870e-02 4.1475083155e-02
6.1645507812e+00 1.0195982435e-01 6.2003167643e-02 3.9956656709e-02
6.2255859375e+00 9.5563381177e-02 5.6640320195e-02 3.8923060983e-02
6.2866210938e+00 9.0377209876e-02 5.2281284112e-02 3.8095925765e-02
6.3476562500e+00 8.5085330795e-02 4.7834346093e-02 3.7250984702e-02
6.4086914062e+00 8.0602804106e-02 4.4063266928e-02 3.6539537178e-02
6.4697265625e+00 7.7711483998e-02 4.1645906715e-02 3.6065577283e-02
6.5307617188e+00 7.4619428677e-02 3.8647224903e-02 3.5972203774e-02
6.5917968750e+00 7.2254963639e-02 3.6499763966e-02 3.5755199673e-02
