# freq_THz  G_total_s  G_Ga_s  G_S_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.1; mass_weighted=True; primitive_atoms=4; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
6.1035156250e-02 1.0699242570e-01 7.0427749826e-02 3.6564675878e-02
1.2207031250e-01 1.3003788219e-01 8.5551773841e-02 4.4486108349e-02
1.8310546875e-01 1.5194554288e-01 9.9875940718e-02 5.2069602166e-02
2.4414062500e-01 1.6781787837e-01 1.1016179497e-01 5.7656083404e-02
3.0517578125e-01 1.8158348540e-01 1.1899761792e-01 6.2585867473e-02
3.6621093750e-01 1.9689413488e-01 1.2881229425e-01 6.8081840629e-02
4.2724609375e-01 2.1302259288e-01 1.3915397358e-01 7.3868619301e-02
4.8828125000e-01 2.2818551473e-01 1.4883749889e-01 7.9348015844e-02
5.4931640625e-01 2.4547267770e-01 1.5983548121e-01 8.5637196487e-02
6.1035156250e-01 2.7259041271e-01 1.7715618912e-01 9.5434223591e-02
6.7138671875e-01 3.0993787599e-01 2.0106945983e-01 1.0886841616e-01
7.3242187500e-01 3.4266817408e-01 2.2189964390e-01 1.2076853019e-01
7.9345703125e-01 3.5492467844e-01 2.2928976188e-01 1.2563491656e-01
8.5449218750e-01 3.5019717542e-01 2.2545857159e-01 1.2473860383e-01
9.1552734375e-01 3.4803889873e-01 2.2306895858e-01 1.2496994015e-01
9.7656250000e-01 3.6248254653e-01 2.3119646573e-01 1.3128608080e-01
1.0375976562e+00 3.9168674103e-01 2.4858790294e-01 1.4309883809e-01
1.0986328125e+00 4.2598397968e-01 2.6884923628e-01 1.5713474339e-01
1.1596679688e+00 4.5940234647e-01 2.8787923534e-01 1.7152311113e-01
1.2207031250e+00 4.9444000532e-01 3.0704584151e-01 1.8739416382e-01
1.2817382812e+00 5.3750180551e-01 3.3048584584e-01 2.0701595966e-01
1.3427734375e+00 5.8934422628e-01 3.5902986276e-01 2.3031436352e-01
1.4038085938e+00 6.4215034273e-01 3.8805221662e-01 2.5409812610e-01
1.4648437500e+00 6.8682412737e-01 4.1192569522e-01 2.7489843215e-01
1.5258789062e+00 7.2095752781e-01 4.2920285736e-01 2.9175467045e-01
1.5869140625e+00 7.4827924515e-01 4.4235894439e-01 3.0592030076e-01
