# freq_THz  G_total  G_Ga  G_S
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
6.1035156250e-02 5.8737698507e-02 4.0136815124e-02 1.8600883383e-02
1.2207031250e-01 1.8105647757e-01 1.2376499322e-01 5.7291484352e-02
1.8310546875e-01 1.9032319166e-01 1.3007474564e-01 6.0248446012e-02
2.4414062500e-01 2.0378033424e-01 1.3929071937e-01 6.4489614873e-02
3.0517578125e-01 1.5963474443e-01 1.0910120557e-01 5.0533538861e-02
3.6621093750e-01 2.0149324628e-01 1.3770242430e-01 6.3790821980e-02
4.2724609375e-01 1.8137200839e-01 1.2383684759e-01 5.7535160797e-02
4.8828125000e-01 2.9153177938e-01 1.9923775490e-01 9.2294024479e-02
5.4931640625e-01 3.0751109464e-01 2.1036784463e-01 9.7143250006e-02
6.1035156250e-01 2.1460525754e-01 1.4656826417e-01 6.8036993370e-02
6.7138671875e-01 2.4955297166e-01 1.7052186400e-01 7.9031107653e-02
7.3242187500e-01 2.8100532308e-01 1.9249152163e-01 8.8513801446e-02
7.9345703125e-01 2.9853972623e-01 2.0447457027e-01 9.4065155959e-02
8.5449218750e-01 2.5396976939e-01 1.7385388801e-01 8.0115881378e-02
9.1552734375e-01 2.7182025446e-01 1.8594676068e-01 8.5873493777e-02
9.7656250000e-01 3.8007845261e-01 2.6007667335e-01 1.2000177926e-01
1.0375976562e+00 4.0375181844e-01 2.7638622968e-01 1.2736558876e-01
1.0986328125e+00 3.7890141034e-01 2.5906760632e-01 1.1983380402e-01
1.1596679688e+00 4.6585490210e-01 3.1785928979e-01 1.4799561231e-01
1.2207031250e+00 4.7388737493e-01 3.2307686075e-01 1.5081051418e-01
1.2817382812e+00 4.4585314930e-01 3.0343906767e-01 1.4241408164e-01
1.3427734375e+00 4.8300225532e-01 3.2687892975e-01 1.5612332557e-01
1.4038085938e+00 5.2706299570e-01 3.5489912393e-01 1.7216387177e-01
1.4648437500e+00 5.8096291110e-01 3.8947559142e-01 1.9148731968e-01
1.5258789062e+00 6.4548947951e-01 4.3371727163e-01 2.1177220788e-01
1.5869140625e+00 6.4171396494e-01 4.3259629268e-01 2.0911767226e-01
1.6479492188e+00 6.3472865611e-01 4.2774144185e-01 2.0698721425e-01
1.7089843750e+00 6.6936594634e-01 4.5321510161e-01 2.1615084473e-01
1.7700195312e+00 7.0635966757e-01 4.7956449398e-01 2.2679517359e-01
1.8310546875e+00 6.9059067177e-01 4.6962444442e-01 2.2096622734e-01
1.8920898438e+00 7.6516126364e-01 5.2037438845e-01 2.4478687519e-01
1.9531250000e+00 8.0538338769e-01 5.4878234833e-01 2.5660103935e-01
2.0141601562e+00 8.5482659986e-01 5.8441813757e-01 2.7040846229e-01
2.0751953125e+00 9.2527521497e-01 6.3124265956e-01 2.9403255541e-01
2.1362304688e+00 9.7475171574e-01 6.6399801127e-01 3.1075370447e-01
2.1972656250e+00 1.0409934234e+00 7.0428248551e-01 3.3671093789e-01
2.2583007812e+00 1.1511065459e+00 7.7132473498e-01 3.7978181095e-01
2.3193359375e+00 1.2047411575e+00 8.0432434312e-01 4.0041681441e-01
2.3803710938e+00 1.2501644571e+00 8.3913912727e-01 4.1102532983e-01
2.4414062500e+00 1.1190170231e+00 7.5735124359e-01 3.6166577954e-01
2.5024414062e+00 1.0753766438e+00 7.3386869854e-01 3.4150794528e-01
2.5634765625e+00 1.0930323749e+00 7.5078091531e-01 3.4225145955e-01
2.6245117188e+00 1.1196474036e+00 7.7341809451e-01 3.4622930905e-01
2.6855468750e+00 1.2003004695e+00 8.3170505082e-01 3.6859541868e-01
2.7465820312e+00 1.2763000481e+00 8.8979978275e-01 3.8650026534e-01
2.8076171875e+00 1.2966554922e+00 9.0599204779e-01 3.9066344438e-01
2.8686523438e+00 1.3816863591e+00 9.7083508922e-01 4.1085126991e-01
2.9296875000e+00 1.4556986852e+00 1.0251973171e+00 4.3050136813e-01
2.9907226562e+00 1.5826226686e+00 1.1104966652e+00 4.7212600338e-01
3.0517578125e+00 1.6550998570e+00 1.1402159228e+00 5.1488393412e-01
3.1127929688e+00 1.6830802071e+00 1.1209165523e+00 5.6216365479e-01
3.1738281250e+00 1.6667522676e+00 1.0846225120e+00 5.8212975561e-01
3.2348632812e+00 1.5041848575e+00 9.8126017039e-01 5.2292468710e-01
3.2958984375e+00 1.3637880551e+00 9.0132048172e-01 4.6246757335e-01
3.3569335938e+00 1.3539940479e+00 9.0576989811e-01 4.4822414981e-01
3.4179687500e+00 1.3625992103e+00 9.1606946114e-01 4.4652974916e-01
3.4790039062e+00 1.4666585644e+00 9.8479818456e-01 4.8186037980e-01
3.5400390625e+00 1.6115313563e+00 1.0771548239e+00 5.3437653239e-01
3.6010742188e+00 1.8346216727e+00 1.2135053938e+00 6.2111627882e-01
3.6621093750e+00 2.1649188568e+00 1.4151040754e+00 7.4981478140e-01
3.7231445312e+00 2.2061050967e+00 1.4357424917e+00 7.7036260502e-01
3.7841796875e+00 1.9140825239e+00 1.2517955562e+00 6.6228696764e-01
3.8452148438e+00 1.7382115508e+00 1.1441942353e+00 5.9401731555e-01
3.9062500000e+00 1.7564507205e+00 1.1601722748e+00 5.9627844571e-01
3.9672851562e+00 1.7407742455e+00 1.1513050387e+00 5.8946920684e-01
4.0283203125e+00 1.7049304740e+00 1.1287413324e+00 5.7618914166e-01
4.0893554688e+00 1.6685049701e+00 1.1048392512e+00 5.6366571890e-01
4.1503906250e+00 1.6910410343e+00 1.1223659083e+00 5.6867512595e-01
4.2114257812e+00 1.7027392658e+00 1.1331682908e+00 5.6957097499e-01
4.2724609375e+00 1.6756100011e+00 1.1175747251e+00 5.5803527602e-01
4.3334960938e+00 1.6532726985e+00 1.1080672718e+00 5.4520542666e-01
4.3945312500e+00 1.5699881142e+00 1.0607014804e+00 5.0928663380e-01
4.4555664062e+00 1.5829882210e+00 1.0739054364e+00 5.0908278460e-01
4.5166015625e+00 1.5766753906e+00 1.0767286891e+00 4.9994670147e-01
4.5776367188e+00 1.5486219505e+00 1.0652792369e+00 4.8334271360e-01
4.6386718750e+00 1.5105894818e+00 1.0521185433e+00 4.5847093845e-01
4.6997070312e+00 1.4815793788e+00 1.0431771462e+00 4.3840223259e-01
4.7607421875e+00 1.5283525517e+00 1.0840569952e+00 4.4429555644e-01
4.8217773438e+00 1.5421351336e+00 1.1026980651e+00 4.3943706848e-01
4.8828125000e+00 1.5589221179e+00 1.1172015493e+00 4.4172056854e-01
4.9438476562e+00 1.5798914409e+00 1.1337078408e+00 4.4618360015e-01
5.0048828125e+00 1.5701994878e+00 1.1274861328e+00 4.4271335498e-01
5.0659179688e+00 1.5953050931e+00 1.1442432967e+00 4.5106179648e-01
5.1269531250e+00 1.6233621508e+00 1.1584914713e+00 4.6487067953e-01
5.1879882812e+00 1.5982927374e+00 1.1453679460e+00 4.5292479146e-01
5.2490234375e+00 1.3983342746e+00 1.0158656859e+00 3.8246858868e-01
5.3100585938e+00 1.2003647235e+00 8.8530713669e-01 3.1505758678e-01
5.3710937500e+00 1.0155038642e+00 7.5417073702e-01 2.6133312721e-01
5.4321289062e+00 8.7008253317e-01 6.4920162529e-01 2.2088090788e-01
5.4931640625e+00 7.1428873431e-01 5.3431590227e-01 1.7997283204e-01
5.5541992188e+00 5.8231735889e-01 4.3258015433e-01 1.4973720456e-01
5.6152343750e+00 4.9577195152e-01 3.6541085560e-01 1.3036109592e-01
5.6762695312e+00 4.1534002107e-01 3.0454604737e-01 1.1079397370e-01
5.7373046875e+00 3.1692125190e-01 2.3061585835e-01 8.6305393556e-02
5.7983398438e+00 2.4218026187e-01 1.7424255315e-01 6.7937708727e-02
5.8593750000e+00 1.8116027705e-01 1.2750239584e-01 5.3657881213e-02
5.9204101562e+00 1.4626990382e-01 1.0065058014e-01 4.5619323686e-02
5.9814453125e+00 1.2774761820e-01 8.6229304240e-02 4.1518313960e-02
6.0424804688e+00 1.1448584534e-01 7.5707988098e-02 3.8777857238e-02
6.1035156250e+00 1.0330196007e-01 6.6482346753e-02 3.6819613316e-02
6.1645507812e+00 9.5719513318e-02 6.0064956903e-02 3.5654556415e-02
6.2255859375e+00 8.8917485939e-02 5.4525718368e-02 3.4391767571e-02
6.2866210938e+00 8.3554741868e-02 4.9890369870e-02 3.3664371998e-02
6.3476562500e+00 7.9015782068e-02 4.5986051188e-02 3.3029730880e-02
6.4086914062e+00 7.5435062539e-02 4.2892145656e-02 3.2542916883e-02
6.4697265625e+00 7.2855003804e-02 4.0319659310e-02 3.2535344494e-02
6.5307617188e+00 7.0346625708e-02 3.7963376027e-02 3.2383249681e-02
6.5917968750e+00 6.8110835806e-02 3.5891415105e-02 3.2219420701e-02
6.6528320312e+00 6.6817462393e-02 3.4375501967e-02 3.2441960426e-02
6.7138671875e+00 6.6253827880e-02 3.3208517039e-02 3.3045310841e-02
6.7749023438e+00 6.5539450078e-02 3.2068608525e-02 3.3470841553e-02
6.8359375000e+00 6.4336084810e-02 3.0659810368e-02 3.3676274442e-02
6.8969726562e+00 6.4835466100e-02 2.9921926495e-02 3.4913539605e-02
6.9580078125e+00 6.5710437011e-02 2.9292327877e-02 3.6418109134e-02
7.0190429688e+00 6.6912970985e-02 2.8887079661e-02 3.8025891323e-02
7.0800781250e+00 6.8042428254e-02 2.8470008389e-02 3.9572419864e-02
7.1411132812e+00 6.8889506973e-02 2.8365874203e-02 4.0523632770e-02
7.2021484375e+00 7.0896892039e-02 2.8388611034e-02 4.2508281004e-02
7.2631835938e+00 7.4126417385e-02 2.8733133052e-02 4.5393284333e-02
7.3242187500e+00 7.7006492092e-02 2.9052845354e-02 4.7953646738e-02
7.3852539062e+00 8.0655292669e-02 2.9894560678e-02 5.0760731991e-02
7.4462890625e+00 8.4000247198e-02 3.0442145030e-02 5.3558102168e-02
7.5073242188e+00 8.8986341780e-02 3.1625427794e-02 5.7360913986e-02
7.5683593750e+00 9.4476105720e-02 3.3157433195e-02 6.1318672525e-02
7.6293945312e+00 1.0214785937e-01 3.5127942902e-02 6.7019916466e-02
7.6904296875e+00 1.1113059766e-01 3.7839619486e-02 7.3290978171e-02
7.7514648438e+00 1.2135691324e-01 4.0679129095e-02 8.0677784141e-02
7.8125000000e+00 1.3346382279e-01 4.4253189980e-02 8.9210632811e-02
7.8735351562e+00 1.4779179180e-01 4.9146424757e-02 9.8645367043e-02
7.9345703125e+00 1.6919745294e-01 5.6244607657e-02 1.1295284528e-01
7.9956054688e+00 1.9515152238e-01 6.4906517808e-02 1.3024500458e-01
8.0566406250e+00 2.2715689930e-01 7.5869591906e-02 1.5128730739e-01
8.1176757812e+00 2.7197667047e-01 9.1625862856e-02 1.8035080762e-01
8.1787109375e+00 3.3533790422e-01 1.1466746696e-01 2.2067043726e-01
8.2397460938e+00 4.3258689020e-01 1.5000789904e-01 2.8257899115e-01
8.3007812500e+00 5.6799220859e-01 2.0046507485e-01 3.6752713374e-01
8.3618164062e+00 7.7997657568e-01 2.8104572476e-01 4.9893085092e-01
8.4228515625e+00 1.0923726103e+00 4.0137740691e-01 6.9099520338e-01
8.4838867188e+00 1.5421224824e+00 5.7816264364e-01 9.6395983877e-01
8.5449218750e+00 2.0531570724e+00 7.8008180627e-01 1.2730752662e+00
8.6059570312e+00 2.4969092161e+00 9.5565098029e-01 1.5412582358e+00
8.6669921875e+00 2.6903604432e+00 1.0382829314e+00 1.6520775118e+00
8.7280273438e+00 2.6270846999e+00 1.0288821664e+00 1.5982025336e+00
8.7890625000e+00 2.4228501893e+00 9.7020469953e-01 1.4526454897e+00
