# freq_THz  G_total_s  G_Ga_s  G_S_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.1; mass_weighted=True; primitive_atoms=4; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
6.1035156250e-02 1.0261545589e-01 7.0135823979e-02 3.2479631908e-02
1.2207031250e-01 1.3370623407e-01 9.1386500321e-02 4.2319733751e-02
1.8310546875e-01 1.6280098492e-01 1.1127093469e-01 5.1530050227e-02
2.4414062500e-01 1.8012805011e-01 1.2310810705e-01 5.7019943061e-02
3.0517578125e-01 1.9044267146e-01 1.3014797973e-01 6.0294691729e-02
3.6621093750e-01 2.0365684612e-01 1.3917131986e-01 6.4485526258e-02
4.2724609375e-01 2.2353511935e-01 1.5276152362e-01 7.0773595728e-02
4.8828125000e-01 2.4384906636e-01 1.6666412466e-01 7.7184941697e-02
5.4931640625e-01 2.5589592265e-01 1.7492531193e-01 8.0970610720e-02
6.1035156250e-01 2.5976152080e-01 1.7760976779e-01 8.2151753011e-02
6.7138671875e-01 2.6302511110e-01 1.7991095990e-01 8.3114151204e-02
7.3242187500e-01 2.6965778573e-01 1.8452732006e-01 8.5130465667e-02
7.9345703125e-01 2.7878913112e-01 1.9082306320e-01 8.7966067919e-02
8.5449218750e-01 2.9272642584e-01 2.0035902978e-01 9.2367396063e-02
9.1552734375e-01 3.1632577956e-01 2.1647097442e-01 9.9854805139e-02
9.7656250000e-01 3.4830994944e-01 2.3828416881e-01 1.1002578063e-01
1.0375976562e+00 3.8144116759e-01 2.6080453631e-01 1.2063663128e-01
1.0986328125e+00 4.1081303533e-01 2.8062152450e-01 1.3019151083e-01
1.1596679688e+00 4.3552321424e-01 2.9707662006e-01 1.3844659418e-01
1.2207031250e+00 4.5608026305e-01 3.1045543499e-01 1.4562482807e-01
1.2817382812e+00 4.7619257644e-01 3.2320881190e-01 1.5298376454e-01
1.3427734375e+00 5.0226999748e-01 3.3973595622e-01 1.6253404126e-01
1.4038085938e+00 5.3685274284e-01 3.6202047480e-01 1.7483226804e-01
1.4648437500e+00 5.7500026864e-01 3.8708490138e-01 1.8791536726e-01
1.5258789062e+00 6.0854721186e-01 4.0963498976e-01 1.9891222211e-01
1.5869140625e+00 6.3357910327e-01 4.2699547198e-01 2.0658363129e-01
1.6479492188e+00 6.5324589981e-01 4.4112026308e-01 2.1212563673e-01
1.7089843750e+00 6.7323847804e-01 4.5566590196e-01 2.1757257608e-01
1.7700195312e+00 6.9726485224e-01 4.7296888751e-01 2.2429596473e-01
1.8310546875e+00 7.2769552388e-01 4.9453441981e-01 2.3316110408e-01
1.8920898438e+00 7.6630639117e-01 5.2155878649e-01 2.4474760467e-01
1.9531250000e+00 8.1293825051e-01 5.5386707785e-01 2.5907117266e-01
2.0141601562e+00 8.6602598547e-01 5.9008914986e-01 2.7593683561e-01
2.0751953125e+00 9.2453263804e-01 6.2903648646e-01 2.9549615158e-01
2.1362304688e+00 9.8808253431e-01 6.7014072874e-01 3.1794180557e-01
2.1972656250e+00 1.0540953849e+00 7.1197177885e-01 3.4212360606e-01
2.2583007812e+00 1.1135919864e+00 7.4961277153e-01 3.6397921485e-01
2.3193359375e+00 1.1521654579e+00 7.7481713771e-01 3.7734832022e-01
2.3803710938e+00 1.1603952684e+00 7.8203244976e-01 3.7836281868e-01
2.4414062500e+00 1.1454233537e+00 7.7571061145e-01 3.6971274223e-01
2.5024414062e+00 1.1288435872e+00 7.6938720654e-01 3.5945638061e-01
2.5634765625e+00 1.1308084632e+00 7.7579566400e-01 3.5501279916e-01
2.6245117188e+00 1.1578417506e+00 7.9900659645e-01 3.5883515411e-01
2.6855468750e+00 1.2042430758e+00 8.3519347857e-01 3.6904959719e-01
