# freq_THz  G_total  G_Ga  G_S
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
6.1035156250e-02 1.2580550949e-01 8.6136418095e-02 3.9669091398e-02
1.2207031250e-01 1.6327526698e-01 1.1181059338e-01 5.1464673594e-02
1.8310546875e-01 1.1657952631e-01 7.9829460726e-02 3.6750065581e-02
2.4414062500e-01 1.2754800728e-01 8.7382204968e-02 4.0165802317e-02
3.0517578125e-01 1.2232530156e-01 8.3866738600e-02 3.8458562960e-02
3.6621093750e-01 1.8528764603e-01 1.2712640897e-01 5.8161237059e-02
4.2724609375e-01 2.2301783972e-01 1.5310262365e-01 6.9915216070e-02
4.8828125000e-01 1.7537836444e-01 1.2052411935e-01 5.4854245089e-02
5.4931640625e-01 3.1169005324e-01 2.1428688905e-01 9.7403164192e-02
6.1035156250e-01 2.5396335106e-01 1.7467304917e-01 7.9290301888e-02
6.7138671875e-01 1.7849410893e-01 1.2307894620e-01 5.5415162731e-02
7.3242187500e-01 2.1009634480e-01 1.4486402812e-01 6.5232316681e-02
7.9345703125e-01 2.2815359349e-01 1.5726928638e-01 7.0884307108e-02
8.5449218750e-01 2.6396651496e-01 1.8234115589e-01 8.1625359073e-02
9.1552734375e-01 2.6419829315e-01 1.8256933024e-01 8.1628962915e-02
9.7656250000e-01 2.1014448694e-01 1.4563194763e-01 6.4512539304e-02
1.0375976562e+00 2.6100447867e-01 1.8129454630e-01 7.9709932373e-02
1.0986328125e+00 3.3714601578e-01 2.3400482907e-01 1.0314118670e-01
1.1596679688e+00 3.1781441329e-01 2.2095868152e-01 9.6855731767e-02
1.2207031250e+00 2.9451782469e-01 2.0548699221e-01 8.9030832478e-02
1.2817382812e+00 3.4270193663e-01 2.3911235725e-01 1.0358957938e-01
1.3427734375e+00 3.5695995329e-01 2.4888735358e-01 1.0807259971e-01
1.4038085938e+00 3.6973900657e-01 2.5859495281e-01 1.1114405375e-01
1.4648437500e+00 3.9455139109e-01 2.7465657875e-01 1.1989481234e-01
1.5258789062e+00 4.5691399344e-01 3.1607072717e-01 1.4084326627e-01
1.5869140625e+00 5.4873997468e-01 3.7712190442e-01 1.7161807026e-01
1.6479492188e+00 5.5296721996e-01 3.8086998319e-01 1.7209723677e-01
1.7089843750e+00 5.7896397980e-01 3.9980189899e-01 1.7916208082e-01
1.7700195312e+00 5.2013810863e-01 3.5687738869e-01 1.6326071993e-01
1.8310546875e+00 5.7260648607e-01 3.9512429740e-01 1.7748218867e-01
1.8920898438e+00 5.7026694821e-01 3.9554170790e-01 1.7472524031e-01
1.9531250000e+00 5.9312212958e-01 4.1287321808e-01 1.8024891151e-01
2.0141601562e+00 5.9623272540e-01 4.1106675678e-01 1.8516596862e-01
2.0751953125e+00 6.6925838877e-01 4.6672509891e-01 2.0253328986e-01
2.1362304688e+00 7.1524089101e-01 5.0312533454e-01 2.1211555647e-01
2.1972656250e+00 7.0572024009e-01 4.9433110807e-01 2.1138913202e-01
2.2583007812e+00 7.0142698960e-01 4.9387003594e-01 2.0755695366e-01
2.3193359375e+00 8.1239462863e-01 5.7566863386e-01 2.3672599477e-01
2.3803710938e+00 8.6884608417e-01 6.1323570650e-01 2.5561037767e-01
2.4414062500e+00 7.9304357097e-01 5.6106947275e-01 2.3197409821e-01
2.5024414062e+00 8.2452116559e-01 5.9353307045e-01 2.3098809514e-01
2.5634765625e+00 8.5998181101e-01 6.1784335448e-01 2.4213845653e-01
2.6245117188e+00 1.0014417078e+00 7.1947232686e-01 2.8196938096e-01
2.6855468750e+00 1.0360965502e+00 7.4873167787e-01 2.8736487235e-01
2.7465820312e+00 9.7448982812e-01 7.1217639996e-01 2.6231342816e-01
2.8076171875e+00 1.1064980394e+00 8.1405969072e-01 2.9243834873e-01
2.8686523438e+00 1.2956018775e+00 9.5668394878e-01 3.3891792872e-01
2.9296875000e+00 1.3852238784e+00 1.0372528422e+00 3.4797103624e-01
2.9907226562e+00 1.5833652396e+00 1.2116494958e+00 3.7171574376e-01
3.0517578125e+00 1.9554689678e+00 1.5095779894e+00 4.4589097836e-01
3.1127929688e+00 1.7996476016e+00 1.3710510665e+00 4.2859653509e-01
3.1738281250e+00 1.2296687617e+00 9.2288647801e-01 3.0678228366e-01
3.2348632812e+00 1.0025736827e+00 7.1186385670e-01 2.9070982602e-01
3.2958984375e+00 1.0393969863e+00 7.1940559159e-01 3.1999139475e-01
3.3569335938e+00 1.1179619465e+00 7.6698019364e-01 3.5098175286e-01
3.4179687500e+00 1.1654970898e+00 7.9582866701e-01 3.6966842278e-01
3.4790039062e+00 1.3795808606e+00 9.3700109388e-01 4.4257976670e-01
3.5400390625e+00 1.5908755695e+00 1.0713359273e+00 5.1953964227e-01
3.6010742188e+00 1.7852231845e+00 1.1876359037e+00 5.9758728086e-01
3.6621093750e+00 2.3371188772e+00 1.5240684428e+00 8.1305043441e-01
3.7231445312e+00 3.1062586122e+00 2.0010656246e+00 1.1051929876e+00
