# freq_THz  G_total_s  G_Ga_s  G_S_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.1; mass_weighted=True; primitive_atoms=4; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
6.1035156250e-02 1.0871489754e-01 7.4445612626e-02 3.4269284912e-02
1.2207031250e-01 1.2001957767e-01 8.2197530410e-02 3.7822047260e-02
1.8310546875e-01 1.2955476346e-01 8.8751944850e-02 4.0802818614e-02
2.4414062500e-01 1.3887012276e-01 9.5178305851e-02 4.3691816906e-02
3.0517578125e-01 1.5383033177e-01 1.0549837621e-01 4.8331955553e-02
3.6621093750e-01 1.7541751910e-01 1.2038466323e-01 5.5032855864e-02
4.2724609375e-01 1.9942043967e-01 1.3694840152e-01 6.2472038156e-02
4.8828125000e-01 2.2041768265e-01 1.5146679031e-01 6.8950892341e-02
5.4931640625e-01 2.3251353948e-01 1.5988569266e-01 7.2627846823e-02
6.1035156250e-01 2.3263874633e-01 1.6009201622e-01 7.2546730111e-02
6.7138671875e-01 2.2679125832e-01 1.5620438215e-01 7.0586876174e-02
7.3242187500e-01 2.2555640735e-01 1.5549930315e-01 7.0057104207e-02
7.9345703125e-01 2.3217966222e-01 1.6021920896e-01 7.1960453261e-02
8.5449218750e-01 2.4136223037e-01 1.6673804073e-01 7.4624189635e-02
9.1552734375e-01 2.4930186525e-01 1.7245666689e-01 7.6845198360e-02
9.7656250000e-01 2.5938228594e-01 1.7971045309e-01 7.9671832853e-02
1.0375976562e+00 2.7550288327e-01 1.9116977029e-01 8.4333112980e-02
1.0986328125e+00 2.9439152755e-01 2.0455613772e-01 8.9835389828e-02
1.1596679688e+00 3.1033350582e-01 2.1591692808e-01 9.4416577739e-02
1.2207031250e+00 3.2366543173e-01 2.2546482702e-01 9.8200604707e-02
1.2817382812e+00 3.3890617921e-01 2.3626145703e-01 1.0264472218e-01
1.3427734375e+00 3.5903427799e-01 2.5025507265e-01 1.0877920534e-01
1.4038085938e+00 3.8599597251e-01 2.6864392091e-01 1.1735205160e-01
1.4648437500e+00 4.2177581335e-01 2.9272396983e-01 1.2905184352e-01
1.5258789062e+00 4.6427754638e-01 3.2119983232e-01 1.4307771406e-01
1.5869140625e+00 5.0481249099e-01 3.4840529106e-01 1.5640719993e-01
1.6479492188e+00 5.3382327456e-01 3.6798620892e-01 1.6583706565e-01
1.7089843750e+00 5.4918954773e-01 3.7851624809e-01 1.7067329964e-01
