# freq_THz  G_total  G_Ga  G_Se
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
6.1035156250e-02 1.6716756655e-01 7.8054359335e-02 8.9113207210e-02
1.2207031250e-01 2.6508579208e-01 1.2372488462e-01 1.4136090747e-01
1.8310546875e-01 2.1099445135e-01 9.8344535853e-02 1.1264991549e-01
2.4414062500e-01 2.8634564173e-01 1.3325313018e-01 1.5309251155e-01
3.0517578125e-01 3.2125313564e-01 1.4909516778e-01 1.7215796786e-01
3.6621093750e-01 2.7558907793e-01 1.2791906627e-01 1.4767001166e-01
4.2724609375e-01 3.1481710041e-01 1.4566597625e-01 1.6915112417e-01
4.8828125000e-01 2.3222972904e-01 1.0648589976e-01 1.2574382929e-01
5.4931640625e-01 3.5518723676e-01 1.6329921244e-01 1.9188802433e-01
6.1035156250e-01 3.7374501253e-01 1.7161573303e-01 2.0212927951e-01
6.7138671875e-01 3.9458231429e-01 1.7951130831e-01 2.1507100599e-01
7.3242187500e-01 3.6805093758e-01 1.6674560341e-01 2.0130533416e-01
7.9345703125e-01 4.6657598466e-01 2.1063153773e-01 2.5594444693e-01
8.5449218750e-01 5.0193952841e-01 2.2583555872e-01 2.7610396969e-01
9.1552734375e-01 5.6707740514e-01 2.5499910283e-01 3.1207830231e-01
9.7656250000e-01 5.1224770132e-01 2.2777178733e-01 2.8447591399e-01
1.0375976562e+00 5.2092675078e-01 2.3047915702e-01 2.9044759376e-01
1.0986328125e+00 6.0242362311e-01 2.6536299049e-01 3.3706063262e-01
1.1596679688e+00 7.8306711133e-01 3.3987949447e-01 4.4318761686e-01
1.2207031250e+00 8.4039453585e-01 3.5565202908e-01 4.8474250678e-01
1.2817382812e+00 9.2653055434e-01 3.8963951739e-01 5.3689103695e-01
1.3427734375e+00 9.5830459399e-01 3.9981031308e-01 5.5849428091e-01
1.4038085938e+00 9.7189643382e-01 4.0392078849e-01 5.6797564533e-01
1.4648437500e+00 1.0822959406e+00 4.4635369889e-01 6.3594224175e-01
1.5258789062e+00 1.1723600437e+00 4.6937513231e-01 7.0298491142e-01
1.5869140625e+00 1.7264476276e+00 6.3546159032e-01 1.0909860373e+00
1.6479492188e+00 2.3960837699e+00 8.4361284485e-01 1.5524709250e+00
1.7089843750e+00 2.6012763150e+00 8.9504428239e-01 1.7062320327e+00
1.7700195312e+00 3.0334397322e+00 1.0339440673e+00 1.9994956649e+00
1.8310546875e+00 3.5116947962e+00 1.1797092467e+00 2.3319855495e+00
1.8920898438e+00 3.8528491397e+00 1.2977494696e+00 2.5550996701e+00
1.9531250000e+00 3.4869406753e+00 1.2039965548e+00 2.2829441205e+00
