# freq_THz  G_total_s  G_Ga_s  G_Se_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.1; mass_weighted=True; primitive_atoms=4; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
6.1035156250e-02 1.7126142342e-01 7.9896178622e-02 9.1365244803e-02
1.2207031250e-01 2.0447896867e-01 9.5321318957e-02 1.0915764972e-01
1.8310546875e-01 2.3922834078e-01 1.1139695258e-01 1.2783138819e-01
2.4414062500e-01 2.6613982515e-01 1.2375428516e-01 1.4238553999e-01
3.0517578125e-01 2.8284817265e-01 1.3129898937e-01 1.5154918328e-01
3.6621093750e-01 2.9083370346e-01 1.3471000208e-01 1.5612370137e-01
4.2724609375e-01 2.9682072165e-01 1.3709486247e-01 1.5972585918e-01
4.8828125000e-01 3.0965429220e-01 1.4255887509e-01 1.6709541711e-01
5.4931640625e-01 3.3222670359e-01 1.5243277960e-01 1.7979392399e-01
6.1035156250e-01 3.5958948515e-01 1.6437588882e-01 1.9521359634e-01
6.7138671875e-01 3.8758818920e-01 1.7642719023e-01 2.1116099897e-01
7.3242187500e-01 4.1849283264e-01 1.8965714256e-01 2.2883569008e-01
7.9345703125e-01 4.5425941682e-01 2.0501784830e-01 2.4924156852e-01
8.5449218750e-01 4.8983820979e-01 2.2018286078e-01 2.6965534902e-01
9.1552734375e-01 5.1939928035e-01 2.3235293558e-01 2.8704634478e-01
9.7656250000e-01 5.4784889116e-01 2.4349274286e-01 3.0435614830e-01
1.0375976562e+00 5.9030943756e-01 2.6006304248e-01 3.3024639508e-01
1.0986328125e+00 6.5674096109e-01 2.8616225049e-01 3.7057871060e-01
1.1596679688e+00 7.4010888520e-01 3.1859145542e-01 4.2151742978e-01
1.2207031250e+00 8.2337049014e-01 3.5026265916e-01 4.7310783098e-01
1.2817382812e+00 8.9617463706e-01 3.7711438918e-01 5.1906024788e-01
1.3427734375e+00 9.6529835295e-01 4.0145550963e-01 5.6384284331e-01
1.4038085938e+00 1.0569134125e+00 4.3171313791e-01 6.2520027455e-01
1.4648437500e+00 1.2117884070e+00 4.8033198055e-01 7.3145642641e-01
1.5258789062e+00 1.4656845897e+00 5.5802149556e-01 9.0766309413e-01
1.5869140625e+00 1.8182619501e+00 6.6484487513e-01 1.1534170750e+00
1.6479492188e+00 2.2255640879e+00 7.8809120412e-01 1.4374728838e+00
1.7089843750e+00 2.6327331215e+00 9.1213733599e-01 1.7205957855e+00
1.7700195312e+00 2.9948897712e+00 1.0243874404e+00 1.9705023308e+00
1.8310546875e+00 3.2559793257e+00 1.1076030004e+00 2.1483763253e+00
1.8920898438e+00 3.3484034243e+00 1.1384587887e+00 2.2099446356e+00
1.9531250000e+00 3.2477150923e+00 1.1049694631e+00 2.1427456292e+00
2.0141601562e+00 3.0026045642e+00 1.0197031430e+00 1.9829014211e+00
2.0751953125e+00 2.6829144226e+00 9.0782017297e-01 1.7750942496e+00
2.1362304688e+00 2.3250086564e+00 7.8869246372e-01 1.5363161927e+00
2.1972656250e+00 1.9533922240e+00 6.7605190373e-01 1.2773403203e+00
2.2583007812e+00 1.6223557626e+00 5.8640889428e-01 1.0359468684e+00
2.3193359375e+00 1.3988327909e+00 5.3551163636e-01 8.6332115453e-01
2.3803710938e+00 1.3134394980e+00 5.2809546986e-01 7.8534402814e-01
2.4414062500e+00 1.3476602543e+00 5.5667723622e-01 7.9098301803e-01
2.5024414062e+00 1.4578120076e+00 6.0753671252e-01 8.5027529512e-01
2.5634765625e+00 1.5949762789e+00 6.6400419592e-01 9.3097208296e-01
2.6245117188e+00 1.7151339554e+00 7.0973261312e-01 1.0054013423e+00
2.6855468750e+00 1.7923401778e+00 7.3597675122e-01 1.0563634265e+00
2.7465820312e+00 1.8272608480e+00 7.4625537802e-01 1.0810054700e+00
2.8076171875e+00 1.8417368781e+00 7.5371693605e-01 1.0880199420e+00
2.8686523438e+00 1.8640475640e+00 7.7424426530e-01 1.0898032987e+00
2.9296875000e+00 1.9054069735e+00 8.1424045418e-01 1.0911665193e+00
2.9907226562e+00 1.9307290963e+00 8.5334360440e-01 1.0773854919e+00
3.0517578125e+00 1.8680765135e+00 8.4789366868e-01 1.0201828448e+00
3.1127929688e+00 1.6867674754e+00 7.7483572250e-01 9.1193175291e-01
3.1738281250e+00 1.4557546376e+00 6.6757824812e-01 7.8817638950e-01
3.2348632812e+00 1.2892853861e+00 5.8856395475e-01 7.0072143131e-01
3.2958984375e+00 1.2540371550e+00 5.7732117737e-01 6.7671597761e-01
3.3569335938e+00 1.3532161022e+00 6.3979897678e-01 7.1341712539e-01
3.4179687500e+00 1.5610289406e+00 7.6561489679e-01 7.9541404384e-01
3.4790039062e+00 1.8186577538e+00 9.2338973152e-01 8.9526802231e-01
3.5400390625e+00 2.0078096881e+00 1.0440416948e+00 9.6376799333e-01
3.6010742188e+00 2.0017158766e+00 1.0508603202e+00 9.5085555633e-01
3.6621093750e+00 1.7817010261e+00 9.3002900481e-01 8.5167202126e-01
3.7231445312e+00 1.4614437290e+00 7.4742544622e-01 7.1401828279e-01
3.7841796875e+00 1.1717636268e+00 5.8147314396e-01 5.9029048286e-01
