# freq_THz  G_total  G_In  G_Se
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
6.1035156250e-02 2.1041854347e-01 1.2414480617e-01 8.6273737301e-02
1.2207031250e-01 2.1509244791e-01 1.2688336305e-01 8.8209084862e-02
1.8310546875e-01 2.9305887605e-01 1.7219422773e-01 1.2086464832e-01
2.4414062500e-01 3.8156334404e-01 2.2359546743e-01 1.5796787661e-01
3.0517578125e-01 4.4121707223e-01 2.5758167908e-01 1.8363539314e-01
3.6621093750e-01 4.1855197612e-01 2.4232473724e-01 1.7622723888e-01
4.2724609375e-01 5.0775328683e-01 2.9279175106e-01 2.1496153576e-01
4.8828125000e-01 5.7526997897e-01 3.2889805126e-01 2.4637192771e-01
5.4931640625e-01 6.0522515360e-01 3.4253975335e-01 2.6268540026e-01
6.1035156250e-01 6.7109398407e-01 3.7649484580e-01 2.9459913827e-01
6.7138671875e-01 8.5005112226e-01 4.7496330000e-01 3.7508782226e-01
7.3242187500e-01 1.0069472382e+00 5.5563307844e-01 4.5131415977e-01
7.9345703125e-01 1.1588794166e+00 6.3283135215e-01 5.2604806443e-01
8.5449218750e-01 1.3606915919e+00 7.3443832896e-01 6.2625326297e-01
9.1552734375e-01 1.5604412221e+00 8.0940040091e-01 7.5104082120e-01
9.7656250000e-01 2.0934695101e+00 1.0081506323e+00 1.0853188778e+00
1.0375976562e+00 2.5304145176e+00 1.1857104736e+00 1.3447040440e+00
1.0986328125e+00 2.9367561575e+00 1.3542353334e+00 1.5825208241e+00
1.1596679688e+00 3.3302343635e+00 1.5021817359e+00 1.8280526276e+00
1.2207031250e+00 3.8204065972e+00 1.7032939240e+00 2.1171126733e+00
1.2817382812e+00 4.1683453191e+00 1.8484716606e+00 2.3198736585e+00
1.3427734375e+00 4.2035095148e+00 1.8859648311e+00 2.3175446837e+00
1.4038085938e+00 3.4628751665e+00 1.6115066745e+00 1.8513684920e+00
1.4648437500e+00 2.5932458416e+00 1.2917803439e+00 1.3014654977e+00
1.5258789062e+00 2.0850540623e+00 1.0969486662e+00 9.8810539618e-01
1.5869140625e+00 1.6932670326e+00 9.2963426108e-01 7.6363277148e-01
1.6479492188e+00 1.5238625606e+00 8.6352446572e-01 6.6033809483e-01
1.7089843750e+00 1.4893304118e+00 8.5841951812e-01 6.3091089371e-01
1.7700195312e+00 1.5967985188e+00 9.3201280935e-01 6.6478570941e-01
1.8310546875e+00 1.8030682901e+00 1.0599797091e+00 7.4308858106e-01
1.8920898438e+00 2.1239636617e+00 1.2570602718e+00 8.6690338992e-01
1.9531250000e+00 2.3279824172e+00 1.3805842989e+00 9.4739811832e-01
2.0141601562e+00 2.5002632248e+00 1.4878290210e+00 1.0124342038e+00
2.0751953125e+00 2.7445659174e+00 1.6676734122e+00 1.0768925052e+00
2.1362304688e+00 3.0596032098e+00 1.9595304139e+00 1.1000727958e+00
2.1972656250e+00 2.9605379470e+00 1.9431065826e+00 1.0174313644e+00
2.2583007812e+00 2.0493756687e+00 1.3025222311e+00 7.4685343758e-01
2.3193359375e+00 1.7790464181e+00 1.1146884780e+00 6.6435794010e-01
2.3803710938e+00 1.9232013362e+00 1.2243368715e+00 6.9886446476e-01
2.4414062500e+00 2.3582323918e+00 1.5462418533e+00 8.1199053854e-01
2.5024414062e+00 2.7935031818e+00 1.8786129297e+00 9.1489025210e-01
2.5634765625e+00 2.5813888093e+00 1.7329801689e+00 8.4840864045e-01
2.6245117188e+00 1.9808925250e+00 1.2931822502e+00 6.8771027479e-01
2.6855468750e+00 1.6168937412e+00 1.0296550264e+00 5.8723871489e-01
2.7465820312e+00 1.3852707053e+00 8.7194141113e-01 5.1332929413e-01
2.8076171875e+00 1.1975498084e+00 7.4608517931e-01 4.5146462912e-01
2.8686523438e+00 1.0223979462e+00 6.3205189526e-01 3.9034605089e-01
2.9296875000e+00 8.7565971281e-01 5.3913823840e-01 3.3652147442e-01
2.9907226562e+00 7.4229789512e-01 4.5641707501e-01 2.8588082011e-01
3.0517578125e+00 6.8913377184e-01 4.2853063524e-01 2.6060313661e-01
3.1127929688e+00 6.7666862326e-01 4.2994080285e-01 2.4672782041e-01
3.1738281250e+00 7.2491290549e-01 4.6859109995e-01 2.5632180555e-01
3.2348632812e+00 8.0119816252e-01 5.2637933470e-01 2.7481882782e-01
3.2958984375e+00 8.8629106050e-01 5.8658915669e-01 2.9970190382e-01
3.3569335938e+00 9.4128283876e-01 6.2409568635e-01 3.1718715241e-01
3.4179687500e+00 9.4891282814e-01 6.2552879682e-01 3.2338403132e-01
3.4790039062e+00 8.7253069336e-01 5.6650586129e-01 3.0602483207e-01
3.5400390625e+00 7.4682093444e-01 4.7229731733e-01 2.7452361712e-01
3.6010742188e+00 6.2903364481e-01 3.8550630328e-01 2.4352734154e-01
3.6621093750e+00 5.1435247358e-01 3.0330854573e-01 2.1104392785e-01
3.7231445312e+00 4.2179048741e-01 2.3756793067e-01 1.8422255674e-01
3.7841796875e+00 3.6148660758e-01 1.9372571307e-01 1.6776089451e-01
3.8452148438e+00 3.1626915817e-01 1.6038005470e-01 1.5588910347e-01
3.9062500000e+00 2.8169652835e-01 1.3592069172e-01 1.4577583663e-01
3.9672851562e+00 2.5055032608e-01 1.1596442234e-01 1.3458590374e-01
4.0283203125e+00 2.3362504526e-01 1.0356913818e-01 1.3005590708e-01
4.0893554688e+00 2.2486414743e-01 9.6767733970e-02 1.2809641346e-01
4.1503906250e+00 2.2109894948e-01 9.3320524980e-02 1.2777842450e-01
4.2114257812e+00 2.3076903680e-01 9.6576607620e-02 1.3419242918e-01
4.2724609375e+00 2.4855439787e-01 1.0452987663e-01 1.4402452124e-01
4.3334960938e+00 2.7856419625e-01 1.1854074471e-01 1.6002345154e-01
4.3945312500e+00 3.3496451736e-01 1.4444233168e-01 1.9052218568e-01
4.4555664062e+00 4.2905172536e-01 1.8788459576e-01 2.4116712960e-01
4.5166015625e+00 6.3201711981e-01 2.8108560390e-01 3.5093151591e-01
4.5776367188e+00 1.2368352559e+00 5.5361580376e-01 6.8321945209e-01
4.6386718750e+00 2.2285994569e+00 9.9768092345e-01 1.2309185334e+00
4.6997070312e+00 2.4609887707e+00 1.1174826098e+00 1.3435061609e+00
4.7607421875e+00 2.2305447333e+00 1.0476791628e+00 1.1828655705e+00
4.8217773438e+00 2.1749723916e+00 1.0683766882e+00 1.1065957033e+00
4.8828125000e+00 2.2913703674e+00 1.1937331100e+00 1.0976372574e+00
4.9438476562e+00 2.6078875805e+00 1.4319252491e+00 1.1759623314e+00
5.0048828125e+00 3.0567093294e+00 1.7415074870e+00 1.3152018425e+00
5.0659179688e+00 3.2335684201e+00 1.8655463935e+00 1.3680220266e+00
5.1269531250e+00 2.7842774283e+00 1.5877099076e+00 1.1965675208e+00
5.1879882812e+00 2.0382657061e+00 1.1310767192e+00 9.0718898689e-01
5.2490234375e+00 1.5427544123e+00 8.1845385321e-01 7.2430055909e-01
5.3100585938e+00 1.3304099257e+00 6.4096456408e-01 6.8944536164e-01
5.3710937500e+00 1.3000562903e+00 5.5753857384e-01 7.4251771643e-01
5.4321289062e+00 1.3800455851e+00 5.3785625267e-01 8.4218933245e-01
5.4931640625e+00 1.5164874432e+00 5.5058189776e-01 9.6590554544e-01
5.5541992188e+00 1.6506457399e+00 5.7000071979e-01 1.0806450201e+00
5.6152343750e+00 1.7705492700e+00 5.9863187398e-01 1.1719173960e+00
5.6762695312e+00 1.7949617935e+00 6.2079042319e-01 1.1741713703e+00
5.7373046875e+00 1.7931624170e+00 6.3799701850e-01 1.1551653985e+00
5.7983398438e+00 1.8051310262e+00 6.5924718569e-01 1.1458838405e+00
5.8593750000e+00 1.8997915372e+00 7.1039097284e-01 1.1894005643e+00
5.9204101562e+00 2.1159901933e+00 7.9982094185e-01 1.3161692514e+00
5.9814453125e+00 2.5967123006e+00 9.8195974592e-01 1.6147525547e+00
6.0424804688e+00 3.3462496565e+00 1.2543851778e+00 2.0918644787e+00
6.1035156250e+00 3.9795134899e+00 1.4847038334e+00 2.4948096565e+00
6.1645507812e+00 4.3506800065e+00 1.6434716680e+00 2.7072083385e+00
6.2255859375e+00 4.5304543054e+00 1.7463514542e+00 2.7841028512e+00
