# freq_THz  G_total_s  G_In_s  G_Se_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.1; mass_weighted=True; primitive_atoms=4; total_equals_sum_of_partials=True
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
6.1035156250e-02 1.9140445042e-01 1.1271076839e-01 7.8693682029e-02
1.2207031250e-01 2.3802311485e-01 1.3990421310e-01 9.8118901755e-02
1.8310546875e-01 2.9747167929e-01 1.7438153299e-01 1.2309014629e-01
2.4414062500e-01 3.5672044770e-01 2.0837994447e-01 1.4834050323e-01
3.0517578125e-01 4.0987909229e-01 2.3833864266e-01 1.7154044963e-01
3.6621093750e-01 4.5917825482e-01 2.6546239676e-01 1.9371585805e-01
4.2724609375e-01 5.1103361594e-01 2.9340022903e-01 2.1763338691e-01
4.8828125000e-01 5.7108350028e-01 3.2531017298e-01 2.4577332731e-01
5.4931640625e-01 6.4586417754e-01 3.6477416250e-01 2.8109001504e-01
6.1035156250e-01 7.4410681137e-01 4.1643678825e-01 3.2767002312e-01
6.7138671875e-01 8.7096749922e-01 4.8242647502e-01 3.8854102419e-01
7.3242187500e-01 1.0262891800e+00 5.6079551443e-01 4.6549366562e-01
7.9345703125e-01 1.2139440181e+00 6.5002008789e-01 5.6392393023e-01
8.5449218750e-01 1.4490636577e+00 7.5338348233e-01 6.9568017541e-01
9.1552734375e-01 1.7485563735e+00 8.7683436359e-01 8.7172200986e-01
9.7656250000e-01 2.1115599094e+00 1.0218723638e+00 1.0896875457e+00
1.0375976562e+00 2.5145163322e+00 1.1819260076e+00 1.3325903246e+00
1.0986328125e+00 2.9260441372e+00 1.3462592436e+00 1.5797848936e+00
1.1596679688e+00 3.3114807354e+00 1.5021175919e+00 1.8093631436e+00
1.2207031250e+00 3.6130887474e+00 1.6279954656e+00 1.9850932817e+00
1.2817382812e+00 3.7422764028e+00 1.6899529469e+00 2.0523234559e+00
1.3427734375e+00 3.6232863822e+00 1.6574270273e+00 1.9658593549e+00
1.4038085938e+00 3.2638989439e+00 1.5307716038e+00 1.7331273402e+00
1.4648437500e+00 2.7734306085e+00 1.3496189736e+00 1.4238116349e+00
1.5258789062e+00 2.2968363864e+00 1.1693467268e+00 1.1274896596e+00
1.5869140625e+00 1.9357314169e+00 1.0320512644e+00 9.0368015249e-01
1.6479492188e+00 1.7272299610e+00 9.5782589116e-01 7.6940406986e-01
1.7089843750e+00 1.6668583931e+00 9.5091018967e-01 7.1594820340e-01
1.7700195312e+00 1.7309956510e+00 1.0054296119e+00 7.2556603907e-01
1.8310546875e+00 1.8849868688e+00 1.1071574166e+00 7.7782945219e-01
